dataset,shot,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1,mean_best_epoch,trainable_parameters,train_size,validation_size,test_size
indian_pines,1,5,0.4149117588736863,0.07225680223621407,0.6038478096655922,0.015943053741483994,0.36022859625834663,0.07032629011560906,0.37748827767450566,0.029968105003353215,0.40251280152549285,0.08020697715045072,78.8,99488,16,147,10086
indian_pines,5,5,0.7201915403032721,0.016713085305149596,0.8265956310486271,0.014498538191156584,0.6865977032608346,0.018998990571584284,0.6380526208226653,0.021695893036885013,0.7326681037448641,0.020575731654723203,118.0,99488,80,145,10024
indian_pines,10,5,0.8012265004523977,0.025553173655557204,0.8864325422782786,0.009395075044475096,0.7764202110800661,0.02785244187003125,0.7153315253298541,0.020213067553115218,0.8087317872617664,0.026950737423510507,85.0,99488,160,142,9947
