source,family,model,OA,AA,Kappa,Macro-F1,Weighted-F1,training_time_seconds,tuned,note
stage4_tuned_baselines,tuned_mlp,mlp_h256_d0.0_lr0.003,0.8404878048780487,0.7719065684573655,0.8172576419856803,0.7854943076329604,0.8376895501588736,0.5487060546875,True,best in tuning grid
stage4_residual_qnn_full,qnn,Residual QNN full,0.7834146341463415,0.7896108736858571,0.755470272163743,0.7740833242966624,0.7839292394252398,197.47374272346497,True,LayerNorm + pi*tanh + residual; best by validation Macro-F1
stage4_reupload_multiobs_qnn_full,qnn,Residual Reupload Multiobs QNN full,0.7873170731707317,0.7425494586047694,0.7532298549978642,0.7613287497005108,0.770818937706203,265.3809440135956,True,data re-uploading + Z and ZZ readout + residual
stage4_tuned_baselines,tuned_bottleneck,bottleneck_b32_relu_lr0.01,0.8159756097560975,0.7551738054312565,0.7903302773429309,0.7567555868859362,0.814030164312075,0.423414945602417,True,best in tuning grid
stage4_tuned_baselines,tuned_linear,linear_lr0.01,0.8004878048780488,0.7062559352367467,0.7693564597873954,0.7333334748725702,0.794266059534071,0.3201353549957275,True,best in tuning grid
stage3_deep,deep,hybridsn,0.81,0.6869055181123002,0.7826937615116932,0.6996856542661678,0.8047530426623332,90.39498591423036,False,initial deep baseline
stage3_deep,deep,cnn2d,0.7576829268292683,0.5993210546478902,0.720599432487639,0.60954295901424,0.7450510351900312,4.419657945632935,False,initial deep baseline
stage4_tuned_baselines,tuned_svm_rbf,svm_C10_gammascale,0.6840243902439025,0.5612900101837002,0.6347898028483412,0.5836442560088925,0.6706932251098382,0.4441678524017334,True,best in tuning grid
stage2_traditional,traditional,svm_rbf,0.6607317073170732,0.561136198351059,0.6120131560133701,0.575650828523283,0.6553958593842388,,False,PCA spectral vector baseline
stage4_heads_initial,hybridsn_head,hybridsn_mlp,0.733780487804878,0.5628898125305144,0.6955244271373553,0.5715068846900246,0.7246461403733296,0.2510271072387695,False,
stage4_heads_initial,hybridsn_head,hybridsn_linear,0.703780487804878,0.5366743579480115,0.6610358191120707,0.5264609282852201,0.6904547660036918,44.42671489715576,False,
stage2_traditional,traditional,knn,0.6070731707317073,0.4774039934918158,0.5448107636255828,0.4793084211551734,0.5804989546219202,,False,PCA spectral vector baseline
stage2_traditional,traditional,random_forest,0.6329268292682927,0.4735971423498265,0.568056253139126,0.474563456999558,0.5920990811102125,,False,PCA spectral vector baseline
stage4_heads_initial,hybridsn_head,hybridsn_bottleneck,0.4674390243902439,0.2357471997982309,0.3874249946559163,0.1853281437749797,0.403086228119661,0.1930720806121826,False,
stage4_heads_initial,hybridsn_head,hybridsn_qnn,0.2044444444444444,0.1725,0.1408,0.0708435054975108,0.083962673182235,11.012741088867188,False,qnn_stratified_subset
stage3_deep,deep,cnn3d,0.27,0.1210700241234592,0.104808260686651,0.0447811294579011,0.1246740872180315,9.715711116790771,False,initial deep baseline
stage3_deep,deep,cnn1d,0.1397560975609756,0.1057163646629159,0.0229033774064675,0.0203057020514973,0.0398645405800317,1.5920162200927734,False,initial deep baseline
