dataset,shot,model,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1
indian_pines,1,HybridSN-small,5,0.4149117588736863,0.072256802236214,0.6038478096655922,0.0159430537414839,0.3602285962583467,0.070326290115609,0.3774882776745057,0.0299681050033532,0.4025128015254928,0.0802069771504507
indian_pines,1,Spectral QNN Gated Fusion,5,0.4439619274241522,0.0543950642033231,0.6160626852702293,0.0282146645278893,0.3919455805180076,0.0552514868631356,0.404982359235939,0.0395953064526192,0.45504144185056,0.0632068335149776
indian_pines,1,CNN1D,5,0.2298036882807852,0.0321396077641453,0.3043257853966994,0.030203665909559,0.1564424412661592,0.0289353203780875,0.1989603598678647,0.0432556016779811,0.2132535123521889,0.0398325324600844
indian_pines,1,CNN2D,5,0.3804481459448741,0.0712414645520403,0.5550365439066037,0.0321350201867191,0.3246791501030966,0.0687194393636715,0.362188816264151,0.057992853747474,0.379830214156684,0.0780317315465171
indian_pines,1,CNN3D,5,0.2463811223478088,0.0875010349377293,0.2029836500617817,0.1039061618455592,0.1509805694312103,0.0981734042563406,0.133610495357506,0.0847460035094803,0.1632590861070676,0.0884633941037592
indian_pines,1,Random Forest,5,0.1418996628990679,0.0200420294600497,0.2121612023299833,0.0100161862226813,0.0828758792444807,0.0182561366342629,0.1371098734210044,0.0171505621462562,0.142595436959946,0.0184885125001312
indian_pines,1,SVM-RBF,5,0.2656950228038865,0.0442932939494358,0.4045231643152058,0.0382530824956022,0.1986800652758508,0.0382430529109918,0.2787325194001467,0.0285892962021388,0.2635276887028287,0.0466344361092246
indian_pines,1,kNN,5,0.2656950228038865,0.0442932939494358,0.4045231643152058,0.0382530824956022,0.1986800652758508,0.0382430529109918,0.2787325194001467,0.0285892962021388,0.2635276887028287,0.0466344361092246
indian_pines,5,HybridSN-small,5,0.7201915403032721,0.0167130853051495,0.8265956310486271,0.0144985381911565,0.6865977032608346,0.0189989905715842,0.6380526208226653,0.021695893036885,0.7326681037448641,0.0205757316547232
indian_pines,5,Spectral QNN Gated Fusion + Prototype Loss,5,0.7205107741420591,0.014952589358459,0.8252044236276197,0.0067720595748484,0.6868035221098361,0.0166194968394593,0.6412111895316943,0.0172640242026779,0.7283534891390714,0.0202689688293742
indian_pines,5,Spectral QNN Gated Fusion + SupCon Loss,5,0.7205706304868316,0.0142015055911067,0.8254672422973914,0.0059671687063568,0.686862790302865,0.0157457096447163,0.6403943980512103,0.0144003364673682,0.7290991686728543,0.0196740090788279
indian_pines,5,CNN1D,5,0.3242817238627293,0.0363567611149947,0.3985359183141259,0.0155569292442592,0.2455135245168041,0.0291048317987499,0.2578537331585808,0.0206865872327134,0.2976077231172122,0.042744156158247
indian_pines,5,CNN2D,5,0.6409417398244214,0.0277487512780525,0.7623970784613894,0.0258425039196072,0.5986788490536512,0.0309480145978724,0.5874814029338268,0.0353285454291814,0.6565201711002969,0.0284072113603554
indian_pines,5,CNN3D,5,0.2883080606544293,0.1026647313512507,0.2499109746534567,0.0921941217924196,0.2051482734920996,0.098505071475613,0.1770972559462458,0.0575479933366457,0.223079868153946,0.0925758683994503
indian_pines,5,Random Forest,5,0.3777134876296887,0.0247439529977754,0.4863838370034495,0.0108257761438637,0.3053894083016424,0.021724481520437,0.3479242363599059,0.0138062969829066,0.391893942073795,0.0238087711314224
indian_pines,5,SVM-RBF,5,0.3942737430167597,0.008123819111914,0.5216490585403978,0.0172236947230441,0.325223089171715,0.010397411127388,0.3959976312549154,0.0090627778980736,0.4153723337863386,0.0083389478560912
indian_pines,5,kNN,5,0.3700518754988028,0.0174275299551625,0.4889168750454902,0.007769602926924,0.2962545187403113,0.0172420949943248,0.3439594403377494,0.0164119448212066,0.3843652973078891,0.0193905433901939
indian_pines,10,HybridSN-small,5,0.8012265004523977,0.0255531736555572,0.8864325422782786,0.009395075044475,0.7764202110800661,0.0278524418700312,0.7153315253298541,0.0202130675531152,0.8087317872617664,0.0269507374235105
indian_pines,10,Spectral QNN Gated Fusion + Prototype Loss,5,0.8088468885090982,0.0239716803285429,0.8886841473746238,0.0132110573628388,0.7848792359067124,0.0262407085899161,0.718224051546547,0.0192003452289834,0.8161282863317719,0.0243112580635103
indian_pines,10,Spectral QNN Gated Fusion + SupCon Loss,5,0.8107167990348849,0.0232353432338507,0.8904887632108611,0.0138357373588776,0.7869662823625463,0.0254143530804114,0.7226362549509519,0.0207892357925295,0.8179054667532772,0.0233439520115369
indian_pines,10,CNN1D,5,0.365798733286418,0.0521392961489856,0.4707700978921947,0.0305591944876776,0.2923181221972309,0.0461978470404419,0.3304314329065439,0.0376044540584647,0.3590821167082703,0.0645164198597508
indian_pines,10,CNN2D,5,0.7389363627224288,0.0344141580656728,0.8335034331789449,0.0192496520693995,0.7061053139543965,0.0381052208584522,0.6711870862110143,0.0190177419599689,0.744918742233366,0.0361662050885625
indian_pines,10,CNN3D,5,0.2947019201769377,0.071297396787932,0.3028326395637844,0.0742499588616136,0.2160986369866479,0.0682489409583311,0.1912436991933405,0.0697628868362005,0.2035897662958086,0.066917547342592
indian_pines,10,Random Forest,5,0.4204081632653061,0.0152766763053136,0.5404458134312546,0.0054854224273033,0.3528960173157148,0.0157647058308672,0.3913620214869776,0.0146772635082112,0.4357089792753177,0.0152035659144091
indian_pines,10,SVM-RBF,5,0.4159445058811702,0.0135264439597271,0.5557883485355137,0.0108440656161873,0.3506937320928591,0.0153796420304333,0.4225707359657843,0.0108285979043104,0.4353247103801249,0.0141217703929061
indian_pines,10,kNN,5,0.4009651151100833,0.024928783618734,0.534649761820806,0.0101076388473986,0.3315970360100951,0.0242615100818663,0.3833949682840938,0.0103907334317867,0.4200425142538203,0.0225345431006206
pavia_university,1,HybridSN-small,5,0.531949293530473,0.0813158431752944,0.5923429859571202,0.046348988525585,0.441931576445384,0.0823336976621918,0.4883928641076777,0.0530040658756239,0.5440285381438947,0.0897147427989378
pavia_university,1,CNN1D,5,0.411322257890667,0.0914687673275113,0.5611861209058538,0.0609724544885839,0.3204754084128428,0.0825003282892148,0.4441545011134608,0.0754575227907127,0.3953017779620527,0.1247334749030941
pavia_university,1,CNN2D,5,0.4700517843334817,0.0817820386232667,0.5250753344602667,0.0162843123342534,0.3783491140771197,0.0659472819700602,0.456607058177657,0.02630549702377,0.4895920638253527,0.0848186005602424
pavia_university,1,CNN3D,5,0.1462380204794151,0.114195737555107,0.2739648586323745,0.1014731064976779,0.0844680901576295,0.0822207398460493,0.1724285816343703,0.1081252894099532,0.1084494451937487,0.1310532194019628
pavia_university,1,Random Forest,5,0.320289617358296,0.0590534544540198,0.3796603235132991,0.0290615717446926,0.1946136254106816,0.0494507557933854,0.3213846908815309,0.0471018680252132,0.3401539867819269,0.0593696995840536
pavia_university,1,SVM-RBF,5,0.5191367715631371,0.0457351349430078,0.6312038850934892,0.017756814519948,0.417241049025341,0.0384393023828194,0.5500594506572449,0.024067790958177,0.527942241918037,0.0475483319680364
pavia_university,1,kNN,5,0.5191367715631371,0.0457351349430078,0.6312038850934892,0.017756814519948,0.417241049025341,0.0384393023828194,0.5500594506572449,0.024067790958177,0.527942241918037,0.0475483319680364
pavia_university,5,HybridSN-small,5,0.7574353321920217,0.0288598017797097,0.7831879657680056,0.038432196171417,0.6932294071266917,0.0305741969132771,0.7121182781138393,0.0446184885166824,0.7594205259183372,0.0289143184619994
pavia_university,5,Spectral QNN Gated Fusion + Prototype Loss,5,0.775277315259961,0.0347761092374978,0.8237252293113022,0.0283224120645001,0.7178900270158979,0.0392088415984634,0.7710936007020088,0.0217430160878396,0.7842069809463103,0.0337526813238942
pavia_university,5,CNN1D,5,0.5931239886494218,0.0523018310186724,0.7063385754170024,0.0327386232170626,0.4991282554063609,0.0546728421870509,0.607103288876811,0.0650717950596603,0.5967371926243817,0.0607334852828444
pavia_university,5,CNN2D,5,0.7048099247203397,0.0684516125327803,0.7525908587864569,0.0354536790577074,0.6352183298681906,0.0737019238528001,0.6966661755397634,0.0371667015194038,0.7160382096723327,0.068244724348472
pavia_university,5,CNN3D,5,0.1829459909476794,0.1956113995288287,0.2841931923269317,0.1509148625024843,0.1170821474952192,0.1604782784003681,0.1711417846813268,0.165164650513664,0.1347907571035506,0.2043045712044446
pavia_university,5,Random Forest,5,0.5962336718182032,0.0445530725609541,0.698940976071633,0.0224420627954906,0.5004608189492182,0.0433872397415354,0.627507816926906,0.0186624585342444,0.6096699021118728,0.0403331645244575
pavia_university,5,SVM-RBF,5,0.6015759480312375,0.0349538903634983,0.7327224598672493,0.0053236872796663,0.5178256082322481,0.0346761259102384,0.6640427374723678,0.014082725493465,0.6173251841180694,0.0357167034971622
pavia_university,5,kNN,5,0.5880772026922446,0.0342865114652215,0.7011402678080606,0.0168985312405693,0.4981798657352368,0.0292245011340771,0.6307695185626029,0.0094800756872944,0.6039355990750483,0.0314212745758496
pavia_university,10,HybridSN-small,5,0.8226171471499673,0.0492476171709186,0.8431025908179974,0.0581961419587748,0.7731450494776053,0.0620012130553722,0.7919759979075065,0.0813698546918066,0.8280320844234927,0.0518827292681636
pavia_university,10,Spectral QNN Gated Fusion + Prototype Loss,5,0.8631514696215608,0.0258886811186574,0.8947981710982639,0.0221259249959757,0.8248031953705162,0.0318373212496893,0.8612717948590678,0.022158129633316,0.8693467732141817,0.0227900051677554
pavia_university,10,CNN1D,5,0.6228566062541084,0.0484063461345602,0.7338221772370275,0.0094726002740168,0.5365338885118129,0.0429382785469657,0.6526479750973647,0.0238436098464693,0.6319986626784102,0.046730978344022
pavia_university,10,CNN2D,5,0.7868297492722321,0.0605717943568445,0.8374366145082762,0.0324968554698933,0.7325797467941865,0.0708250532820965,0.7785670531876014,0.0413744576220592,0.7957228607316726,0.0579688604950259
pavia_university,10,CNN3D,5,0.2588552915766738,0.1723534339757552,0.3415362260773654,0.1284191991036818,0.1702997086092927,0.1421089739320833,0.2201116780272042,0.1205684275505711,0.2276060537319192,0.1869300055327234
pavia_university,10,Random Forest,5,0.6707625129120105,0.0476223974195557,0.7591794404939843,0.0090094283740702,0.5893929371525053,0.0495179518212538,0.6979810104887966,0.0170857966889029,0.6845939061741031,0.0413474727665373
pavia_university,10,SVM-RBF,5,0.7000704291482769,0.0548272157509285,0.7726037496300275,0.0210610217139353,0.6206515501203921,0.0582640919575943,0.7226155056095172,0.021636962908902,0.7105668351760503,0.0498094716060926
pavia_university,10,kNN,5,0.6375950793501737,0.0578272059539467,0.7419787333664666,0.0119229237957871,0.5509514530826426,0.0562655305609892,0.675630356957899,0.02151725974676,0.648844404405075,0.0548586193202076
salinas,1,CNN1D,5,0.4990046892665838,0.1488503913062599,0.5308248096714212,0.1534795074283557,0.459739072301659,0.1439889498866732,0.4788778836054631,0.1629556245149825,0.4737105671771499,0.1533334149240106
salinas,1,CNN2D,5,0.7422015457898542,0.0194509832205297,0.7773551607657654,0.0204663782209294,0.7125729698144865,0.022831422812414,0.749118504711345,0.0191847251341011,0.7260358473950903,0.029467023988527
salinas,1,CNN3D,5,0.239363890793839,0.0870908517901947,0.1987146919623934,0.0574854943264062,0.1811326623012762,0.070887516753092,0.1110451961896706,0.0357886939599318,0.1487432364774893,0.0580159009439172
salinas,1,Random Forest,5,0.3267584749689544,0.0133872156163502,0.3514789652169462,0.0178791779460924,0.2742747753680744,0.0145448163834582,0.3117333530169258,0.0124428605999855,0.3283504539632249,0.0202354867738231
salinas,1,SVM-RBF,5,0.6995681426426705,0.0227644065757646,0.7560458214980736,0.0173665940368207,0.6681383655872148,0.0249202138906595,0.7200055561615207,0.0211913964576152,0.6884980848514367,0.0342721311335888
salinas,1,kNN,5,0.6995681426426705,0.0227644065757646,0.7560458214980736,0.0173665940368207,0.6681377875108682,0.0249201037064426,0.7200161445898676,0.0211964813206009,0.6884983720479692,0.0342700624944743
salinas,5,HybridSN-small,5,0.8693276921078514,0.0710670097739067,0.9089938168130728,0.0803072574395392,0.8542271764196847,0.0803505042716026,0.8966788489976594,0.0920786753362045,0.859081431218122,0.0924698108877394
salinas,5,Spectral QNN Gated Fusion + Prototype Loss,5,0.8816493161869768,0.0209164374414811,0.9400936851273448,0.008567649702707,0.8685658513681311,0.02326447463939,0.9335603496753628,0.0077756478662979,0.8821254515310795,0.0208751339387058
salinas,5,CNN1D,5,0.6583013230900555,0.0209411504421743,0.7344856659010274,0.0229848356095705,0.6258544237341372,0.0204168216147084,0.6830194866911025,0.0123223317191842,0.6120296002877881,0.0302557768337428
salinas,5,CNN2D,5,0.8829519939134146,0.0316714704420124,0.9263614651882148,0.0137138321183402,0.8699660048138653,0.0350168719735124,0.9100476858963816,0.0199581287491045,0.8831879573472611,0.0318800845871207
salinas,5,CNN3D,5,0.2569541093729703,0.084929494685588,0.2188097795155769,0.0285272758965698,0.1990096608761595,0.0675444673941549,0.1256510924123935,0.0250758784567616,0.1633999180840366,0.0554921892072489
salinas,5,Random Forest,5,0.7745513926775409,0.0119341786422855,0.8485341317218801,0.0130311653858631,0.7500610165821177,0.0135697153898463,0.8355403140164082,0.0111549004227371,0.7738778973299207,0.0119210235567645
salinas,5,SVM-RBF,5,0.7884429104269889,0.0063278230928579,0.8733933568089338,0.0076098094088124,0.7656570379431955,0.0071837386195959,0.8555669061374587,0.0105105123353057,0.7875359121147715,0.007260340059461
salinas,5,kNN,5,0.7470392844550835,0.0257892816296978,0.8314232002561225,0.009702580082364,0.721340057812333,0.0275187629587058,0.8001235606325057,0.0191049268185229,0.7360880717020575,0.0334345723038169
salinas,10,HybridSN-small,5,0.9360181382296642,0.0158898825448197,0.960621720870644,0.0145692734578063,0.9287979533636974,0.0176309570156933,0.9544178031872306,0.0154920667222222,0.9361657175974398,0.0157284373494918
salinas,10,Spectral QNN Gated Fusion + Prototype Loss,5,0.9072162649370924,0.0377213133791003,0.9556304504454868,0.0171046988015145,0.8964679135823209,0.0424419990144884,0.949634146206311,0.0179379430522559,0.9028969710237348,0.0443004601960565
salinas,10,CNN1D,5,0.749075433477671,0.011023460031694,0.8312996496595089,0.0093834511315856,0.7233821216319216,0.0114943359926687,0.8069051513092347,0.0100680549897811,0.7389195329034275,0.0160920643445742
salinas,10,CNN2D,5,0.935661320596926,0.0084824762737117,0.9601094601960324,0.003743321659138,0.9284916427428064,0.0094067252576654,0.9522826992497696,0.0060372852697486,0.9357097231874294,0.0086012624467769
salinas,10,CNN3D,5,0.4153989109628501,0.1813077906317683,0.4054298676223711,0.1889342671081588,0.3657594428729672,0.1893451495699599,0.3169535696646658,0.1934125361068102,0.3430390064927261,0.201469951673271
salinas,10,Random Forest,5,0.8085115872809382,0.0162014833178148,0.8906496905359915,0.0070469611738097,0.7875698504028963,0.0173549673861197,0.8831590478682093,0.0070915648344517,0.8067446586038844,0.0179923595625851
salinas,10,SVM-RBF,5,0.8262298128565853,0.0125504480942644,0.9019583568157356,0.003228967846966,0.8071416678155263,0.0136061336575944,0.8920976954477153,0.0035783037512988,0.8261747284088858,0.0130454944714942
salinas,10,kNN,5,0.7934286085970749,0.0129069339330281,0.8746750352352148,0.0055835105945348,0.7713352012931765,0.0140676317780862,0.8567023479058342,0.007508995170678,0.7926012999372071,0.0137215821871525
