class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1994,1.0
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3711,1.0
2,Fallow,1.0,1.0,1.0,1961,1.0
3,Fallow_rough_plow,0.7711247901510913,0.9992748368382887,0.8704990524320909,1379,0.9992748368382887
4,Fallow_smooth,0.9970772442588727,0.896733007885843,0.9442467378410438,2663,0.896733007885843
5,Stubble,1.0,0.9982251521298174,0.9991117878441822,3944,0.9982251521298174
6,Celery,0.999715018523796,0.9842873176206509,0.991941184787219,3564,0.9842873176206509
7,Grapes_untrained,0.9177024728509747,0.6231343283582089,0.7422614953172125,11256,0.6231343283582089
8,Soil_vinyard_develop,0.9966178128523112,1.0,0.9983060417843026,6188,1.0
9,Corn_senesced_green_weeds,0.9968294229549778,0.9635304934109715,0.9798971482000935,3263,0.9635304934109715
10,Lettuce_romaine_4wk,0.9383928571428571,0.9981006647673314,0.9673262770363553,1053,0.9981006647673314
11,Lettuce_romaine_5wk,0.9989550679205852,1.0,0.9994772608468374,1912,1.0
12,Lettuce_romaine_6wk,0.9510086455331412,0.732519422863485,0.8275862068965517,901,0.732519422863485
13,Lettuce_romaine_7wk,0.7862654320987654,0.9658767772511848,0.866865163760102,1055,0.9658767772511848
14,Vinyard_untrained,0.6081925912102267,0.8986626223631601,0.7254312743461324,7253,0.8986626223631601
15,Vinyard_vertical_trellis,0.9696969696969697,1.0,0.9846153846153847,1792,1.0
