model,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1,validation_Weighted-F1
cnn1d,1,2.6549774557352066,0.22265625,2.571886351980814,0.35609756097560974,0.35609756097560974,0.14657819779339265,0.21926933303789065,0.10803517103413332,0.2613260472068661
cnn1d,2,2.394701659679413,0.3642578125,2.328761954889065,0.39902439024390246,0.39902439024390246,0.15527830102150209,0.26101571131626744,0.11957489882909235,0.28719472742490526
cnn1d,3,2.2224313020706177,0.388671875,2.154265426310097,0.3902439024390244,0.3902439024390244,0.14657944448574217,0.23748190786341383,0.11242973952699144,0.27015695008129115
cnn1d,4,2.091248780488968,0.3935546875,2.0416104416730927,0.38926829268292684,0.38926829268292684,0.14281132272815247,0.23608184335659677,0.10253563096135916,0.25502492529213244
cnn1d,5,1.9921447485685349,0.3974609375,1.9535799677779035,0.3951219512195122,0.3951219512195122,0.14512495821204235,0.24433578839975179,0.10437177097172011,0.2593391658781841
cnn1d,6,1.902694508433342,0.4091796875,1.875500204039783,0.40390243902439027,0.40390243902439027,0.15301085391288424,0.25799614232635737,0.11576510286604215,0.2747745399033928
cnn1d,7,1.828027606010437,0.4169921875,1.8046749110338165,0.408780487804878,0.408780487804878,0.15567044969870314,0.264584874944502,0.11876067347683672,0.2810235293012212
cnn1d,8,1.7624392583966255,0.4208984375,1.75236233199515,0.4321951219512195,0.4321951219512195,0.183087595399545,0.30014265803835805,0.15303927612357904,0.3142538852646805
cnn1d,9,1.7021020650863647,0.4345703125,1.6996909764917885,0.43414634146341463,0.43414634146341463,0.1882600057517499,0.3026867380283804,0.15819425724475017,0.31667816030007456
cnn1d,10,1.6634465381503105,0.443359375,1.6579922562110714,0.4429268292682927,0.4429268292682927,0.19645787376347987,0.31510496204421756,0.166478949197995,0.3270258213197964
cnn1d,11,1.612774483859539,0.458984375,1.6216141868219143,0.4604878048780488,0.4604878048780488,0.2169611990540054,0.34306446677916447,0.18389616396227812,0.3487671097648305
cnn1d,12,1.5763179436326027,0.4677734375,1.5880452874811684,0.4497560975609756,0.4497560975609756,0.2068747787349049,0.32519111414087065,0.17592778921018482,0.33662039834927515
cnn1d,13,1.5425636693835258,0.4765625,1.554803243497523,0.45951219512195124,0.45951219512195124,0.2197048002504083,0.3406890690346206,0.18358464447784878,0.34610902958872164
cnn1d,14,1.5186449140310287,0.482421875,1.5321378614844345,0.4682926829268293,0.4682926829268293,0.22999205530376288,0.3538067707285022,0.19628351340526962,0.35935288905838597
cnn1d,15,1.487490952014923,0.4794921875,1.5075914715557563,0.4751219512195122,0.4751219512195122,0.23347388661046992,0.36125827891277806,0.19961228892862698,0.36485980985237915
cnn1d,16,1.466875672340393,0.4814453125,1.4784999086798691,0.4712195121951219,0.4712195121951219,0.2310903564059245,0.3586850243631582,0.19601490921385462,0.36177535013466183
cnn1d,17,1.439146228134632,0.4833984375,1.4669854043169719,0.4721951219512195,0.4721951219512195,0.23142745560401928,0.35731016586329234,0.19802165070861877,0.3620940996897232
cnn1d,18,1.4256544187664986,0.4912109375,1.4467760139558374,0.4897560975609756,0.4897560975609756,0.2773615980539743,0.3841262364578427,0.25361963213106664,0.3922903060854726
cnn1d,19,1.407221220433712,0.4951171875,1.4416281755959115,0.4790243902439024,0.4790243902439024,0.25716893205600816,0.3747022595713909,0.23226967884349192,0.3855518353056418
cnn1d,20,1.3759036362171173,0.49609375,1.414711021097695,0.48292682926829267,0.48292682926829267,0.2625286382054343,0.3735535226875678,0.23758076035589082,0.3783900973675235
cnn1d,21,1.357357271015644,0.4990234375,1.3971607124514696,0.4917073170731707,0.4917073170731707,0.3067354635035609,0.3907385181263918,0.2867109476151396,0.4042133706238782
cnn1d,22,1.340453639626503,0.50390625,1.3885452210030904,0.504390243902439,0.504390243902439,0.312476409510548,0.40098130007880306,0.29898846781592053,0.4108364049171643
cnn1d,23,1.3263524174690247,0.5146484375,1.37600080536633,0.5063414634146342,0.5063414634146342,0.3180700150004398,0.40923536045014974,0.2981825721899337,0.421460946152208
cnn1d,24,1.3168761804699898,0.5185546875,1.3593712220540861,0.5092682926829268,0.5092682926829268,0.3457855093273721,0.4110958306395792,0.3262166712752267,0.4231602544403121
cnn1d,25,1.3041063770651817,0.5166015625,1.358217374289908,0.5053658536585366,0.5053658536585366,0.33310843959472525,0.4116691422205718,0.31429301789297664,0.4262213819126253
cnn1d,26,1.287536695599556,0.5234375,1.343649075205733,0.5170731707317073,0.5170731707317073,0.35473310203325975,0.41862197222219033,0.33605112438191154,0.42612572480905375
cnn1d,27,1.2854176312685013,0.5244140625,1.339381033036767,0.5258536585365854,0.5258536585365854,0.34486091611965874,0.43682464744307203,0.33788009210015063,0.45177631928889855
cnn1d,28,1.2625860050320625,0.537109375,1.322930835398232,0.5219512195121951,0.5219512195121951,0.35904515978573337,0.42612330150779043,0.3443160653103179,0.43889233346626805
cnn1d,29,1.2461007833480835,0.5390625,1.320848472874339,0.5375609756097561,0.5375609756097561,0.4002017613406515,0.4551711918613779,0.388291178993702,0.476199154629541
cnn1d,30,1.2352735698223114,0.544921875,1.3150865052386027,0.5434146341463415,0.5434146341463415,0.3938526442987106,0.45587074292870167,0.3880554035504403,0.47402387824974385
cnn1d,31,1.225647285580635,0.5390625,1.30097481588038,0.5239024390243903,0.5239024390243903,0.36452642856699474,0.43160188950895273,0.35770595454569787,0.4493269853898719
cnn1d,32,1.2213642857968807,0.5390625,1.3052251576214302,0.5434146341463415,0.5434146341463415,0.40605613037609045,0.4613047945782355,0.40539900753210906,0.48706382413080823
cnn1d,33,1.2050786241889,0.55859375,1.2875669470065978,0.5326829268292683,0.5326829268292683,0.39029924360219004,0.44612345645586704,0.3706485801632551,0.4642382875453934
cnn1d,34,1.194771945476532,0.546875,1.2946466106321755,0.5385365853658537,0.5385365853658537,0.39584645222757237,0.45164971633836715,0.393580928153546,0.4720697821185457
cnn1d,35,1.1891240179538727,0.564453125,1.2661378176619367,0.5453658536585366,0.5453658536585366,0.4047193749432376,0.4637345808956357,0.3997424623430977,0.4851705760150267
cnn1d,36,1.176389791071415,0.5654296875,1.2799941714217022,0.5453658536585366,0.5453658536585366,0.39168511361358166,0.4561201147311572,0.3923078925504505,0.4732665461831635
cnn1d,37,1.1794907748699188,0.5712890625,1.26810927042147,0.5590243902439025,0.5590243902439025,0.427482815071773,0.48399412824745114,0.42260884677478083,0.5139905132885848
cnn1d,38,1.1741037145256996,0.5712890625,1.2718651534289849,0.535609756097561,0.535609756097561,0.3748114533094584,0.4449159580689128,0.36867068566247774,0.4581353675783481
cnn1d,39,1.1611866876482964,0.5732421875,1.2653011663948617,0.551219512195122,0.551219512195122,0.4148183444497297,0.47115524818129007,0.3993439854760094,0.4863730116821833
cnn1d,40,1.1527893207967281,0.5771484375,1.2603899341676292,0.5648780487804878,0.5648780487804878,0.4410808399031152,0.49463348629380577,0.4425703265367563,0.532091392963322
