model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
cnn1d,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn1d,0.0,0.4649737302977233,0.043782837127845885,0.03064798598949212,0.0,0.0017513134851138354,0.0,0.0017513134851138354,0.0,0.07618213660245184,0.3555166374781086,0.025394045534150613,0.0,0.0,0.0,0.0
cnn1d,0.0,0.21385542168674698,0.2740963855421687,0.012048192771084338,0.0,0.0030120481927710845,0.0,0.0015060240963855422,0.0,0.1716867469879518,0.2876506024096386,0.03614457831325301,0.0,0.0,0.0,0.0
cnn1d,0.0,0.3386243386243386,0.07407407407407407,0.30687830687830686,0.0,0.1111111111111111,0.0,0.010582010582010581,0.0,0.010582010582010581,0.08994708994708994,0.0582010582010582,0.0,0.0,0.0,0.0
cnn1d,0.0,0.0,0.00516795865633075,0.0103359173126615,0.49870801033591733,0.21705426356589147,0.0,0.05426356589147287,0.0,0.002583979328165375,0.002583979328165375,0.007751937984496124,0.0,0.20155038759689922,0.0,0.0
cnn1d,0.0,0.0,0.0,0.0017123287671232876,0.015410958904109588,0.8972602739726028,0.0,0.0,0.0,0.0,0.0,0.003424657534246575,0.003424657534246575,0.07191780821917808,0.00684931506849315,0.0
cnn1d,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn1d,0.0,0.0,0.0,0.002617801047120419,0.0,0.010471204188481676,0.0,0.9869109947643979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn1d,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0
cnn1d,0.0,0.05912596401028278,0.08868894601542417,0.007712082262210797,0.0,0.010282776349614395,0.0,0.002570694087403599,0.0,0.4704370179948586,0.33676092544987146,0.02442159383033419,0.0,0.0,0.0,0.0
cnn1d,0.0,0.11755725190839694,0.04376590330788804,0.0055979643765903305,0.0005089058524173028,0.012213740458015267,0.0,0.002544529262086514,0.0,0.10381679389312977,0.6956743002544529,0.0183206106870229,0.0,0.0,0.0,0.0
cnn1d,0.0,0.28842105263157897,0.07578947368421053,0.02736842105263158,0.0,0.0,0.0,0.004210526315789474,0.0,0.17473684210526316,0.22105263157894736,0.2063157894736842,0.002105263157894737,0.0,0.0,0.0
cnn1d,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.9634146341463414,0.0,0.03048780487804878,0.0
cnn1d,0.0,0.0,0.0,0.0,0.06225296442687747,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0009881422924901185,0.9189723320158103,0.00691699604743083,0.0
cnn1d,0.0,0.0,0.003246753246753247,0.0,0.032467532467532464,0.37012987012987014,0.0,0.01948051948051948,0.0,0.003246753246753247,0.0,0.016233766233766232,0.1266233766233766,0.36688311688311687,0.06168831168831169,0.0
cnn1d,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.013333333333333334,0.06666666666666667,0.0,0.0,0.0,0.7733333333333333
cnn3d,0.0,0.0,0.05405405405405406,0.0,0.02702702702702703,0.0,0.0,0.918918918918919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn3d,0.0,0.521015761821366,0.021891418563922942,0.0,0.0,0.0043782837127845885,0.0,0.0,0.0,0.017513134851138354,0.38528896672504376,0.04816112084063047,0.0,0.0017513134851138354,0.0,0.0
cnn3d,0.0,0.06325301204819277,0.41566265060240964,0.0,0.0,0.02710843373493976,0.0,0.0,0.0,0.10391566265060241,0.32228915662650603,0.0677710843373494,0.0,0.0,0.0,0.0
cnn3d,0.0,0.5396825396825397,0.026455026455026454,0.1164021164021164,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.30158730158730157,0.0,0.0,0.0,0.0
cnn3d,0.0,0.0,0.00516795865633075,0.0,0.10594315245478036,0.09560723514211886,0.0,0.0103359173126615,0.0,0.0,0.012919896640826873,0.04392764857881137,0.0,0.7028423772609819,0.023255813953488372,0.0
cnn3d,0.0,0.0,0.0,0.0,0.0,0.910958904109589,0.0,0.0,0.0,0.0,0.008561643835616438,0.0,0.0,0.08047945205479452,0.0,0.0
cnn3d,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0
cnn3d,0.0,0.0,0.0,0.0,0.020942408376963352,0.0,0.0,0.9790575916230366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn3d,0.0,0.0,0.1875,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn3d,0.0,0.008997429305912597,0.05141388174807198,0.0,0.0,0.028277634961439587,0.0,0.0,0.0,0.2365038560411311,0.62853470437018,0.04498714652956298,0.0,0.0,0.0012853470437017994,0.0
cnn3d,0.0,0.03104325699745547,0.015267175572519083,0.0,0.0,0.02544529262086514,0.0,0.0,0.0,0.030534351145038167,0.8804071246819338,0.01628498727735369,0.0,0.0005089058524173028,0.0,0.0005089058524173028
cnn3d,0.0,0.32421052631578945,0.18526315789473685,0.0,0.0,0.02526315789473684,0.0,0.0,0.0,0.07157894736842105,0.05894736842105263,0.32210526315789473,0.0,0.002105263157894737,0.0,0.010526315789473684
cnn3d,0.0,0.0,0.0,0.0,0.0,0.054878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.9451219512195121,0.0,0.0,0.0
cnn3d,0.0,0.0,0.0,0.0,0.0,0.03458498023715415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199604743083004,0.045454545454545456,0.0
cnn3d,0.0,0.0,0.003246753246753247,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1331168831168831,0.5,0.0
cnn3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
