model,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
cnn1d,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0
cnn1d,0,531,50,35,0,2,0,2,0,87,406,29,0,0,0,0
cnn1d,0,142,182,8,0,2,0,1,0,114,191,24,0,0,0,0
cnn1d,0,64,14,58,0,21,0,2,0,2,17,11,0,0,0,0
cnn1d,0,0,2,4,193,84,0,21,0,1,1,3,0,78,0,0
cnn1d,0,0,0,1,9,524,0,0,0,0,0,2,2,42,4,0
cnn1d,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0
cnn1d,0,0,0,1,0,4,0,377,0,0,0,0,0,0,0,0
cnn1d,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0
cnn1d,0,46,69,6,0,8,0,2,0,366,262,19,0,0,0,0
cnn1d,0,231,86,11,1,24,0,5,0,204,1367,36,0,0,0,0
cnn1d,0,137,36,13,0,0,0,2,0,83,105,98,1,0,0,0
cnn1d,0,0,0,0,0,1,0,0,0,0,0,0,158,0,5,0
cnn1d,0,0,0,0,63,11,0,0,0,0,0,0,1,930,7,0
cnn1d,0,0,1,0,10,114,0,6,0,1,0,5,39,113,19,0
cnn1d,0,5,0,0,0,0,0,3,0,3,1,5,0,0,0,58
cnn3d,0,0,2,0,1,0,0,34,0,0,0,0,0,0,0,0
cnn3d,0,595,25,0,0,5,0,0,0,20,440,55,0,2,0,0
cnn3d,0,42,276,0,0,18,0,0,0,69,214,45,0,0,0,0
cnn3d,0,102,5,22,0,3,0,0,0,0,0,57,0,0,0,0
cnn3d,0,0,2,0,41,37,0,4,0,0,5,17,0,272,9,0
cnn3d,0,0,0,0,0,532,0,0,0,0,5,0,0,47,0,0
cnn3d,0,0,0,0,16,0,0,0,0,0,0,0,0,3,3,0
cnn3d,0,0,0,0,8,0,0,374,0,0,0,0,0,0,0,0
cnn3d,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0
cnn3d,0,7,40,0,0,22,0,0,0,184,489,35,0,0,1,0
cnn3d,0,61,30,0,0,50,0,0,0,60,1730,32,0,1,0,1
cnn3d,0,154,88,0,0,12,0,0,0,34,28,153,0,1,0,5
cnn3d,0,0,0,0,0,9,0,0,0,0,0,0,155,0,0,0
cnn3d,0,0,0,0,0,35,0,0,0,0,0,0,0,931,46,0
cnn3d,0,0,1,0,0,112,0,0,0,0,0,0,0,41,154,0
cnn3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
