model,class_id,class_name,precision,recall,f1,support
cnn1d,0,Alfalfa,0.0,0.0,0.0,37
cnn1d,1,Corn-notill,0.4589455488331893,0.4649737302977233,0.4619399739016964,1142
cnn1d,2,Corn-mintill,0.41363636363636364,0.2740963855421687,0.32971014492753625,664
cnn1d,3,Corn,0.4233576642335766,0.30687830687830686,0.3558282208588957,189
cnn1d,4,Grass-pasture,0.6992753623188406,0.49870801033591733,0.5822021116138764,387
cnn1d,5,Grass-trees,0.6477132262051916,0.8972602739726028,0.7523330940416367,584
cnn1d,6,Grass-pasture-mowed,0.0,0.0,0.0,22
cnn1d,7,Hay-windrowed,0.7887029288702929,0.9869109947643979,0.8767441860465116,382
cnn1d,8,Oats,0.0,0.0,0.0,16
cnn1d,9,Soybean-notill,0.4250871080139373,0.4704370179948586,0.4466137888956681,778
cnn1d,10,Soybean-mintill,0.5817021276595745,0.6956743002544529,0.633603707995365,1965
cnn1d,11,Soybean-clean,0.4224137931034483,0.2063157894736842,0.27722772277227725,475
cnn1d,12,Wheat,0.7745098039215687,0.9634146341463414,0.8586956521739131,164
cnn1d,13,Woods,0.7996560619088564,0.9189723320158103,0.8551724137931035,1012
cnn1d,14,Buildings-Grass-Trees-Drives,0.5428571428571428,0.06168831168831169,0.11078717201166181,308
cnn1d,15,Stone-Steel-Towers,1.0,0.7733333333333333,0.8721804511278195,75
cnn3d,0,Alfalfa,0.0,0.0,0.0,37
cnn3d,1,Corn-notill,0.619146722164412,0.521015761821366,0.5658582976699953,1142
cnn3d,2,Corn-mintill,0.5847457627118644,0.41566265060240964,0.4859154929577465,664
cnn3d,3,Corn,1.0,0.1164021164021164,0.20853080568720378,189
cnn3d,4,Grass-pasture,0.6212121212121212,0.10594315245478036,0.18101545253863136,387
cnn3d,5,Grass-trees,0.6273584905660378,0.910958904109589,0.7430167597765364,584
cnn3d,6,Grass-pasture-mowed,0.0,0.0,0.0,22
cnn3d,7,Hay-windrowed,0.9077669902912622,0.9790575916230366,0.9420654911838791,382
cnn3d,8,Oats,0.0,0.0,0.0,16
cnn3d,9,Soybean-notill,0.5013623978201635,0.2365038560411311,0.32139737991266376,778
cnn3d,10,Soybean-mintill,0.5942974922706974,0.8804071246819338,0.7095980311730927,1965
cnn3d,11,Soybean-clean,0.3883248730964467,0.32210526315789473,0.3521288837744534,475
cnn3d,12,Wheat,1.0,0.9451219512195121,0.9717868338557993,164
cnn3d,13,Woods,0.7172573189522342,0.9199604743083004,0.806060606060606,1012
cnn3d,14,Buildings-Grass-Trees-Drives,0.7230046948356808,0.5,0.5911708253358925,308
cnn3d,15,Stone-Steel-Towers,0.9259259259259259,1.0,0.9615384615384616,75
