epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.7036242485046387,0.2370731707317073,0.06198979591836735,0.06558670849406212,0.03125
2,2.3433368802070618,0.23902439024390243,0.0625,0.07717452655417312,0.032579787234042555
3,2.245248556137085,0.23902439024390243,0.06484906462585034,0.07975671967513531,0.03348610445953179
4,2.2016220688819885,0.2448780487804878,0.07415471433328576,0.09338681476910415,0.03851115849078172
5,2.1664937138557434,0.2448780487804878,0.07204267365087105,0.09128083185001412,0.03955337921237836
6,2.13127863407135,0.3678048780487805,0.13188344393701537,0.2223138096085575,0.07881361998022339
7,2.103241741657257,0.37170731707317073,0.1314645919556634,0.22667247745974628,0.08003952067517625
8,2.073742985725403,0.37365853658536585,0.1328846005185291,0.2274531488284125,0.08201144252249772
9,2.045471876859665,0.3795121951219512,0.13568893903715332,0.2343792940645898,0.08581426453886992
10,2.017555296421051,0.39414634146341465,0.14206292219685077,0.24846185724760117,0.09465750504463982
11,1.989560842514038,0.3960975609756098,0.1405879834451263,0.24954610239456865,0.09189060681919534
12,1.9619334936141968,0.3960975609756098,0.1405879834451263,0.2493658695868214,0.09215644996557744
13,1.9353001713752747,0.39902439024390246,0.1418991722563151,0.2535151821108471,0.09330025187422339
14,1.9097110331058502,0.4009756097560976,0.14277329813044098,0.25644869927257563,0.09399169315691089
15,1.8838863670825958,0.4058536585365854,0.14495861281575567,0.264159817803743,0.0953552482350484
16,1.8579343557357788,0.40780487804878046,0.14546881689738833,0.2681740550103038,0.09487469281315603
17,1.8333495557308197,0.4068292682926829,0.14539567575281862,0.26804976134100056,0.09460577807062096
18,1.8073050379753113,0.408780487804878,0.14626980162694447,0.2709669620043683,0.0951892585550081
19,1.7832682430744171,0.40780487804878046,0.14637862137862137,0.27088582377274906,0.0953218895393797
20,1.7600858509540558,0.41073170731707315,0.1475078492935636,0.274388164240733,0.09623200315404074
21,1.7362688481807709,0.41365853658536583,0.1488190381047524,0.27816478501080955,0.09740774099199846
22,1.7144854366779327,0.4146341463414634,0.14907414014556872,0.27918002332409364,0.09762979195169164
23,1.6918752193450928,0.4175609756097561,0.15111317254174397,0.28458022978077646,0.09916073371996492
24,1.6703220903873444,0.42048780487804877,0.15242436135293277,0.28933684278102323,0.1001338280238115
25,1.6483652591705322,0.424390243902439,0.15763269468626612,0.2938471580486244,0.11023584946070747
26,1.627356618642807,0.4478048780487805,0.18801767428999572,0.32419760478344384,0.1475619808453128
27,1.6074352860450745,0.45951219512195124,0.2004197332551662,0.3392175572519085,0.15858946325800719
28,1.5858241617679596,0.4741463414634146,0.2127863732606272,0.3596846144663354,0.17347548826912595
29,1.5670987367630005,0.4975609756097561,0.23508963211446088,0.3903650245355341,0.19738118498546345
30,1.5461515486240387,0.5121951219512195,0.24644485995077942,0.4083400388128934,0.20814607914909955
