dataset,shot,model,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1,mean_best_epoch,trainable_parameters
indian_pines,5,HybridSN-small,5,0.7201915403032721,0.0167130853051495,0.8265956310486271,0.0144985381911565,0.6865977032608346,0.0189989905715842,0.6380526208226653,0.021695893036885,0.7326681037448641,0.0205757316547232,118.0,99488
indian_pines,5,Spectral QNN Gated Fusion + Prototype Loss,5,0.7205107741420591,0.01495258935845905,0.8252044236276197,0.006772059574848412,0.6868035221098361,0.016619496839459375,0.6412111895316943,0.01726402420267797,0.7283534891390714,0.020268968829374276,22.0,2176
indian_pines,5,Spectral QNN Gated Fusion + SupCon Loss,5,0.7205706304868316,0.0142015055911067,0.8254672422973914,0.0059671687063568,0.686862790302865,0.0157457096447163,0.6403943980512103,0.0144003364673682,0.7290991686728543,0.0196740090788279,22.2,2176
indian_pines,10,HybridSN-small,5,0.8012265004523977,0.0255531736555572,0.8864325422782786,0.009395075044475,0.7764202110800661,0.0278524418700312,0.7153315253298541,0.0202130675531152,0.8087317872617664,0.0269507374235105,85.0,99488
indian_pines,10,Spectral QNN Gated Fusion + Prototype Loss,5,0.8088468885090982,0.02397168032854299,0.8886841473746238,0.01321105736283886,0.7848792359067124,0.02624070858991613,0.718224051546547,0.01920034522898343,0.8161282863317719,0.024311258063510397,14.4,2176
indian_pines,10,Spectral QNN Gated Fusion + SupCon Loss,5,0.8107167990348849,0.0232353432338507,0.8904887632108611,0.0138357373588776,0.7869662823625463,0.0254143530804114,0.7226362549509519,0.0207892357925295,0.8179054667532772,0.0233439520115369,18.2,2176
pavia_university,5,HybridSN-small,5,0.7574353321920217,0.0288598017797097,0.7831879657680056,0.038432196171417,0.6932294071266917,0.0305741969132771,0.7121182781138393,0.0446184885166824,0.7594205259183372,0.0289143184619994,78.8,99033
pavia_university,5,Spectral QNN Gated Fusion + Prototype Loss,5,0.775277315259961,0.034776109237497854,0.8237252293113022,0.02832241206450018,0.7178900270158979,0.03920884159846346,0.7710936007020088,0.021743016087839663,0.7842069809463103,0.033752681323894265,21.8,1455
pavia_university,10,HybridSN-small,5,0.8226171471499673,0.0492476171709186,0.8431025908179974,0.0581961419587748,0.7731450494776053,0.0620012130553722,0.7919759979075065,0.0813698546918066,0.8280320844234927,0.0518827292681636,60.2,99033
pavia_university,10,Spectral QNN Gated Fusion + Prototype Loss,5,0.8631514696215608,0.025888681118657435,0.8947981710982639,0.022125924995975717,0.8248031953705162,0.03183732124968931,0.8612717948590678,0.022158129633316037,0.8693467732141817,0.022790005167755478,12.4,1455
salinas,5,HybridSN-small,5,0.8693276921078514,0.0710670097739067,0.9089938168130728,0.0803072574395392,0.8542271764196847,0.0803505042716026,0.8966788489976594,0.0920786753362045,0.859081431218122,0.0924698108877394,76.8,99488
salinas,5,Spectral QNN Gated Fusion + Prototype Loss,5,0.8816493161869768,0.02091643744148115,0.9400936851273448,0.008567649702707087,0.8685658513681311,0.02326447463939007,0.9335603496753627,0.007775647866297967,0.8821254515310795,0.020875133938705895,21.0,2176
salinas,10,HybridSN-small,5,0.9360181382296642,0.0158898825448197,0.960621720870644,0.0145692734578063,0.9287979533636974,0.0176309570156933,0.9544178031872306,0.0154920667222222,0.9361657175974398,0.0157284373494918,58.8,99488
salinas,10,Spectral QNN Gated Fusion + Prototype Loss,5,0.9072162649370924,0.03772131337910035,0.9556304504454868,0.017104698801514558,0.8964679135823209,0.04244199901448846,0.949634146206311,0.017937943052255902,0.9028969710237347,0.04430046019605653,12.4,2176
