dataset,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
pavia_university,5,0,0.7821111137168453,0.8356609571406695,0.7265163523669382,0.7562441324856095,0.793207389189153,101,114.29847192764282,311.2656478881836,99033,45,90,42641
pavia_university,5,1,0.7518350882953027,0.7561291920476267,0.6848813902429977,0.656815334876652,0.7481472153630029,57,104.97837400436401,149.33973002433777,99033,45,90,42641
pavia_university,5,2,0.7074880983091391,0.8053393215805635,0.6445393175561716,0.7326794305544678,0.7192055268269049,113,111.21147918701172,148.70930099487305,99033,45,90,42641
pavia_university,5,3,0.7562439905255506,0.7256586829204994,0.6845694840479801,0.6600883665756904,0.7444213786011339,37,57.187978982925415,114.36973190307617,99033,45,90,42641
pavia_university,5,4,0.7894983701132713,0.7931516751506689,0.7256404914193706,0.7547641260767772,0.7921211196114911,86,79.74652910232544,141.6192169189453,99033,45,90,42641
pavia_university,10,0,0.8975490656399662,0.8878617429384523,0.8657762146572979,0.8622790436612413,0.8976153601489932,77,152.34468913078308,168.4945948123932,99033,90,90,42596
pavia_university,10,1,0.7473471687482393,0.7278932943724601,0.6756408139131268,0.633134598405753,0.7374703892049113,24,60.364038944244385,166.35964012145996,99033,90,90,42596
pavia_university,10,2,0.8009907033524275,0.8654671007724013,0.7493500485403342,0.8129194504847996,0.8217979821040112,68,145.47601175308228,142.0109441280365,99033,90,90,42596
pavia_university,10,3,0.8418865621185088,0.867888908674396,0.7963111902064955,0.8359958329237123,0.8434700626365937,67,208.4813311100006,130.64214205741882,99033,90,90,42596
pavia_university,10,4,0.8253122358906939,0.8664019073322778,0.7786469800707719,0.8155510640620265,0.8398066280229542,65,148.24709701538086,139.99064183235168,99033,90,90,42596
salinas,5,0,0.7296479801072575,0.7487271428796507,0.6961490160246364,0.7128303011819559,0.6759466917450673,19,110.21804022789001,178.14809584617615,99488,80,160,53889
salinas,5,1,0.8907012562860696,0.951021361969477,0.8786952042327899,0.9443623761058901,0.8919217042389627,87,128.60736513137817,189.79182505607605,99488,80,160,53889
salinas,5,2,0.8953033086529718,0.9392170918932368,0.884011632005758,0.9336908174456904,0.895650430175054,112,226.58884286880493,136.49226593971252,99488,80,160,53889
salinas,5,3,0.9286867449757835,0.954965802492401,0.9205731211005328,0.9503084771706681,0.9288375863678215,94,143.9781150817871,206.1976146697998,99488,80,160,53889
salinas,5,4,0.9022991705171742,0.951037684830598,0.8917069087347071,0.9422022730840924,0.9030507435637046,72,144.81394386291504,194.1978840827942,99488,80,160,53889
salinas,10,0,0.911408872121764,0.9469946659855555,0.9016601612478671,0.9370495458884958,0.9126156577270474,33,132.20759892463684,195.86932706832886,99488,160,160,53809
salinas,10,1,0.956865951792451,0.9796971659556992,0.9519903978711455,0.975173410514579,0.956984382643538,55,275.1917550563812,173.14483213424683,99488,160,160,53809
salinas,10,2,0.9435782118233009,0.9687698719789859,0.937213536690336,0.9630614098513073,0.9436368037242813,78,205.7821021080017,137.21537709236145,99488,160,160,53809
salinas,10,3,0.9430021000204427,0.9671073517734283,0.9365400705142573,0.9610610207427711,0.9433312562684515,84,216.36365294456482,139.3526360988617,99488,160,160,53809
salinas,10,4,0.9252355553903622,0.9405395486595508,0.9165856004948821,0.935743628939,0.9242604876238814,44,191.5818018913269,155.50030493736267,99488,160,160,53809
