dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,1,0.006094662006944418,0.05000000074505806,2.7224334955215452,2.627718782424927,0.4735735520720482,0.1375,2.3361522436141966,0.23125,0.23125,0.18000000000000005,0.17048515067309195,0.17048515067309195
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,2,0.012493929825723171,0.10000000149011612,2.178952956199646,2.1006125807762146,0.39170189648866655,0.35,1.8581673502922058,0.475,0.475,0.43999999999999995,0.39589514614716226,0.3958951461471623
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,3,0.019304081797599792,0.15000000596046448,1.7391690850257873,1.6500589013099671,0.44555099606513976,0.66875,1.4438833951950074,0.7875,0.7875,0.7733333333333333,0.7468551185656449,0.7468551185656448
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,4,0.02660752646625042,0.20000000298023224,1.3653608560562134,1.2591627717018128,0.5309904009103775,0.84375,1.1078255832195283,0.85,0.8500000000000001,0.84,0.8269318597004018,0.826931859700402
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,5,0.03447508066892624,0.25,1.0450904607772826,0.9521108627319336,0.46489797383546827,0.95625,0.8419012784957886,0.95625,0.9562499999999999,0.9533333333333334,0.9564876453320389,0.9564876453320389
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,6,0.04295311123132706,0.30000001192092896,0.8177655279636383,0.7153206467628479,0.5122244015336037,0.975,0.6457213789224625,0.93125,0.9312499999999999,0.9266666666666666,0.922090098434492,0.9220900984344921
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,7,0.05208547040820122,0.3499999940395355,0.618039870262146,0.5432143956422806,0.3741274006664753,0.96875,0.5045953124761582,0.975,0.9750000000000001,0.9733333333333334,0.9745527501618496,0.9745527501618497
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,8,0.061818983405828476,0.4000000059604645,0.49056370854377745,0.4226913869380951,0.33936161547899246,0.99375,0.4051302418112755,0.98125,0.98125,0.98,0.9811080732133364,0.9811080732133363
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,9,0.07218784838914871,0.44999998807907104,0.4377198427915573,0.3358240842819214,0.509478771686554,1.0,0.33615646660327914,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,10,0.0831623524427414,0.5,0.3709600865840912,0.2750795274972916,0.47940277233719825,0.99375,0.28402682244777677,0.9875,0.9875,0.9866666666666667,0.9873737373737375,0.9873737373737373
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,11,0.09500177204608917,0.550000011920929,0.30036455690860747,0.23076412975788116,0.3480021387338638,0.99375,0.24612733870744705,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,12,0.10755833983421326,0.6000000238418579,0.2697729364037514,0.19574211835861205,0.3701540894806385,1.0,0.21680040657520294,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,13,0.12086019665002823,0.6499999761581421,0.255274261534214,0.16994913816452026,0.42662561535835264,1.0,0.1927688606083393,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,14,0.13490740954875946,0.699999988079071,0.25786488354206083,0.14913932085037232,0.5436277985572815,1.0,0.1733636401593685,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,15,0.14985591173171997,0.75,0.22324836254119873,0.131410101801157,0.4591912947595119,1.0,0.15718256458640098,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,16,0.16563750803470612,0.800000011920929,0.18658193051815034,0.1158905915915966,0.35345669090747833,1.0,0.14460045769810675,0.9875,0.9875,0.9866666666666667,0.987468671679198,0.987468671679198
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,17,0.1821475774049759,0.8500000238418579,0.19041846692562103,0.10317067876458168,0.4362389385700226,1.0,0.1311106640845537,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,18,0.1994789093732834,0.8999999761581421,0.1900227576494217,0.09178935624659061,0.49116699397563934,1.0,0.12040904723107815,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,19,0.21782854199409485,0.949999988079071,0.14925925731658934,0.08275118060410022,0.3325403846800327,1.0,0.11150534451007843,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,20,0.2366621196269989,1.0,0.16863592714071274,0.07454399578273296,0.4704596549272537,1.0,0.10222938526421785,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,21,0.2436942458152771,1.0,0.14975454583764075,0.06720385812222958,0.4127534344792366,1.0,0.09669941384345293,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
