dataset,shot,runs,mean_OA,std_OA,mean_AA,std_AA,mean_Kappa,std_Kappa,mean_Macro-F1,std_Macro-F1,mean_Weighted-F1,std_Weighted-F1,mean_best_epoch,trainable_parameters
pavia_university,5,5,0.7574353321920217,0.028859801779709794,0.7831879657680056,0.03843219617141703,0.6932294071266917,0.030574196913277132,0.7121182781138393,0.04461848851668245,0.7594205259183372,0.028914318461999496,78.8,99033
pavia_university,10,5,0.8226171471499673,0.04924761717091869,0.8431025908179974,0.05819614195877489,0.7731450494776053,0.06200121305537226,0.7919759979075065,0.08136985469180669,0.8280320844234927,0.05188272926816367,60.2,99033
salinas,5,5,0.8693276921078514,0.07106700977390676,0.9089938168130727,0.08030725743953922,0.8542271764196847,0.08035050427160265,0.8966788489976594,0.09207867533620456,0.859081431218122,0.09246981088773941,76.8,99488
salinas,10,5,0.9360181382296642,0.015889882544819715,0.960621720870644,0.014569273457806332,0.9287979533636974,0.01763095701569335,0.9544178031872306,0.015492066722222213,0.9361657175974398,0.01572843734949189,58.8,99488
