shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
5,3,1,2.823377084732056,0.0625,2.693813514709473,0.06206896551724138,0.0578125,-0.006173784376753755,0.051150075414781296,0.05506215218182764
5,3,2,2.7039600372314454,0.0875,2.607185824164029,0.10344827586206896,0.0953125,0.038118079297851715,0.08652616210337163,0.09402523876379303
5,3,3,2.593850040435791,0.1,2.5238130536572685,0.1724137931034483,0.1609375,0.11229018927605738,0.1354435419652811,0.1455140561587338
5,3,4,2.486383008956909,0.15,2.44376399434846,0.22758620689655173,0.215625,0.17155537417742206,0.18970157734459792,0.2018023674774247
5,3,5,2.3840912342071534,0.3125,2.3664243139069656,0.27586206896551724,0.2609375,0.22333316329133301,0.2279468869078693,0.24275016987952971
5,3,6,2.2821017265319825,0.3375,2.2920256548914417,0.35172413793103446,0.33125000000000004,0.30455635491606703,0.28902067348678606,0.30788488108886736
5,3,7,2.1867376804351806,0.4125,2.2197568548136744,0.38620689655172413,0.36250000000000004,0.3414136259249809,0.3286331119169489,0.35036910433747626
5,3,8,2.0936776638031005,0.4875,2.149507026014657,0.43448275862068964,0.40625,0.3931506150155669,0.3712043110031791,0.39662301254711857
5,3,9,2.0002750396728515,0.5375,2.082374668121338,0.47586206896551725,0.44375,0.4374968097595835,0.415979770531401,0.44521905713809756
5,3,10,1.9130036115646363,0.6,2.017637780617023,0.5241379310344828,0.48749999999999993,0.4893584443423673,0.4608277525437052,0.49551784459183695
5,3,11,1.8263093948364257,0.675,1.9550993376764758,0.5655172413793104,0.5249999999999999,0.5337620578778135,0.49576044515302825,0.5340642640228142
5,3,12,1.7443510055541993,0.7625,1.8946603495499184,0.6344827586206897,0.596875,0.6078881575590591,0.5739663257653537,0.6038086840088284
5,3,13,1.6632278919219972,0.8,1.8367389070576634,0.6758620689655173,0.6625,0.6525972370902788,0.6373443958582408,0.6489155199733934
5,3,14,1.5844518661499023,0.8,1.780870797716338,0.7034482758620689,0.6875,0.6822768039135751,0.6642973380105732,0.6786566975207949
5,3,15,1.508093523979187,0.8,1.7272755787290375,0.7034482758620689,0.6875,0.6822768039135751,0.6642973380105732,0.6786566975207949
5,3,16,1.4355879068374633,0.8375,1.6762216107598666,0.7103448275862069,0.7083333333333334,0.6897763741021854,0.6916468403600757,0.6895251139064527
5,3,17,1.3630748748779298,0.8625,1.6267203363878973,0.7310344827586207,0.7416666666666667,0.7120378857317445,0.7216326969384246,0.7097393924296882
5,3,18,1.2951956748962403,0.8875,1.5789334527377425,0.7379310344827587,0.7479166666666666,0.7194215296873409,0.7319573722630999,0.7211321376155367
5,3,19,1.2276583433151245,0.9,1.5332761271246549,0.7517241379310344,0.7604166666666666,0.7342158859470469,0.7461719158894081,0.7375383592955922
5,3,20,1.1658377647399902,0.9125,1.4900331283437795,0.7517241379310344,0.7604166666666666,0.734310581768209,0.7438552427154005,0.7395797314254228
5,3,21,1.103816270828247,0.95,1.4493650995451828,0.7586206896551724,0.78125,0.7417828431871375,0.7573185885800622,0.745815147551946
5,3,22,1.0478214383125306,0.95,1.4103178122947957,0.7724137931034483,0.79375,0.7565133319763891,0.7727791931750976,0.7621539170126839
5,3,23,0.991557502746582,0.9625,1.373906263811835,0.7931034482758621,0.8125,0.7786484836148992,0.7888331147437251,0.7798685890884107
5,3,24,0.940148115158081,0.975,1.3392014552806986,0.7862068965517242,0.8062499999999999,0.7712700997353958,0.7836032329598506,0.7740976850510319
5,3,25,0.8910635352134705,0.975,1.3067506823046453,0.7862068965517242,0.8062499999999999,0.7712700997353958,0.7836032329598506,0.7740976850510319
5,3,26,0.8445708870887756,0.975,1.2756677068513016,0.7931034482758621,0.8125,0.7786484836148992,0.7899908318590594,0.7811460700432623
5,3,27,0.798921525478363,0.975,1.2466736234467606,0.8,0.81875,0.7860268674944026,0.7960267550002458,0.7878063990266402
5,3,28,0.7566316366195679,0.9875,1.2195514333659205,0.8068965517241379,0.825,0.7934052513739059,0.8064708339476141,0.7993308999340814
5,3,29,0.7176267862319946,0.9875,1.1941256062737826,0.8068965517241379,0.825,0.7934052513739059,0.8064708339476141,0.7993308999340814
5,3,30,0.6795114636421203,0.9875,1.1701641280075599,0.8068965517241379,0.825,0.7934052513739059,0.8085697546562485,0.8016469503711952
5,3,31,0.645736837387085,0.9875,1.1478773626787908,0.8137931034482758,0.83125,0.8007836352534093,0.8147187054646421,0.8084319995390776
5,3,32,0.6106854856014252,1.0,1.1274581678982438,0.8137931034482758,0.83125,0.8007836352534093,0.8147187054646421,0.8084319995390776
5,3,33,0.5799971699714661,1.0,1.1077095442804796,0.8137931034482758,0.83125,0.8007836352534093,0.8147187054646421,0.8084319995390776
5,3,34,0.5504942297935486,1.0,1.088883298018883,0.8137931034482758,0.83125,0.8007836352534092,0.8122020738119808,0.8056550266809689
5,3,35,0.5241233468055725,1.0,1.0712518396048711,0.8137931034482758,0.83125,0.8007836352534092,0.8122020738119808,0.8056550266809689
5,3,36,0.4974822998046875,1.0,1.0559327651714456,0.8206896551724138,0.8375,0.8081620191329126,0.8220194327731092,0.8164879745001449
5,3,37,0.4734722375869751,1.0,1.0418480511369377,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,38,0.4506156623363495,1.0,1.0277823744149044,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,39,0.4289432168006897,1.0,1.0155258408908185,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,40,0.408678275346756,1.0,1.0043832713160021,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,41,0.390191924571991,1.0,0.9933547858534189,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,42,0.372912722826004,1.0,0.9833375437506314,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,43,0.3563688814640045,1.0,0.9739821631332923,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,44,0.34101211428642275,1.0,0.9652059078216553,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,45,0.32605195641517637,1.0,0.9575819936291925,0.8206896551724138,0.8375,0.8081620191329126,0.8241786297852474,0.8188705367204354
5,3,46,0.31254847049713136,1.0,0.9504415775167531,0.8275862068965517,0.84375,0.815540403012416,0.8326307496682883,0.8281970138327565
5,3,47,0.29959372282028196,1.0,0.9432195614124167,0.8275862068965517,0.84375,0.815540403012416,0.8307510504201681,0.8261228629382787
5,3,48,0.28794642686843874,1.0,0.9367467386969205,0.8275862068965517,0.84375,0.815540403012416,0.8292638554211763,0.8244818201807707
5,3,49,0.2761002480983734,1.0,0.9309630739277807,0.8275862068965517,0.84375,0.815540403012416,0.8292638554211763,0.8244818201807707
5,3,50,0.2650623917579651,1.0,0.9247880837012982,0.8275862068965517,0.84375,0.815540403012416,0.8292638554211763,0.8244818201807707
5,3,51,0.255318808555603,1.0,0.9195564335790174,0.8275862068965517,0.84375,0.815540403012416,0.8292638554211763,0.8244818201807707
