config,shot,HybridSN-small OA,Spectral Gated QNN OA,Delta OA,HybridSN-small Macro-F1,Spectral Gated QNN Macro-F1,Delta Macro-F1,runs
q4_l1_scalar,1.0,41.491175887368634,44.39619274241522,2.905016855046588,37.74882776745056,40.4982359235939,2.7494081561433403,5.0
q4_l1_scalar,5.0,72.01915403032721,70.51875498802873,-1.5003990422984836,63.80526208226654,63.13547906428616,-0.6697830179803743,5.0
q4_l1_scalar,10.0,80.12265004523978,80.50266411983513,0.3800140745953584,71.53315253298541,71.13870038043981,-0.394452152545599,5.0
q4_l1_classwise,5.0,72.01915403032721,71.19114126097367,-0.8280127693535477,63.80526208226654,63.72421148678289,-0.0810505954836449,5.0
q4_l1_classwise,10.0,80.12265004523978,80.71780436312457,0.595154317884794,71.53315253298541,71.54134580070831,0.0081932677229001,5.0
q6_l1_classwise,5.0,72.01915403032721,71.9972067039106,-0.0219473264166047,63.80526208226654,64.0462082491195,0.2409461668529622,5.0
q6_l1_classwise,10.0,80.12265004523978,80.88871016386851,0.7660601186287308,71.53315253298541,71.8131225305173,0.2799699975318925,5.0
q6_l1_ring_classwise_5shot,5.0,72.01915403032721,70.93774940143656,-1.0814046288906587,63.80526208226654,62.80169807913902,-1.0035640031275106,5.0
q6_l1_classwise_wd0_5shot,5.0,72.01915403032721,71.9972067039106,-0.0219473264166047,63.80526208226654,64.0462082491195,0.2409461668529622,5.0
q6_l1_classwise_monitor_oa_5shot,5.0,72.01915403032721,71.426576217079,-0.5925778132482074,63.80526208226654,63.540900619240205,-0.2643614630263302,5.0
q6_l2_classwise_5shot,5.0,72.01915403032721,71.68395849960096,-0.3351955307262511,63.80526208226654,64.40247691282146,0.5972148305549152,5.0
q6_l1_classwise_lr0001_5shot,5.0,72.01915403032721,71.53232242617717,-0.4868316041500398,63.80526208226654,63.36894800882288,-0.4363140734436554,5.0
