epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,2.510709608225126,0.10192837465564739,0.07708333333333334,0.024290095973087733,0.041238984726812256
2,2.2182255776460504,0.30578512396694213,0.23125,0.2432432432432432,0.16433249816429696
3,1.9800418296792948,0.3002754820936639,0.22708333333333333,0.23723723723723722,0.1569254875175928
4,1.8873759708457085,0.29201101928374656,0.22083333333333335,0.2282282282282282,0.1451409111989093
5,1.782693036331618,0.31955922865013775,0.24166666666666664,0.2582582582582582,0.17678624560438336
6,1.853461382802853,0.3085399449035813,0.23333333333333334,0.24624624624624625,0.15734779468882662
7,1.7747713652524082,0.3002754820936639,0.22708333333333333,0.23723723723723722,0.14959709589850217
8,1.7368874589273753,0.3085399449035813,0.23333333333333334,0.24624624624624625,0.17307064816999856
9,1.6889413923599832,0.2865013774104683,0.21666666666666665,0.2222222222222222,0.14326748188678112
10,1.6695851668838626,0.33884297520661155,0.25625,0.2792792792792793,0.16746047868498476
