class_id,class_name,precision,recall,f1,support
0,Alfalfa,1.0,0.8648648648648649,0.927536231884058,37
1,Corn-notill,0.9911032028469751,0.9754816112084063,0.9832303618711385,1142
2,Corn-mintill,0.9924585218702866,0.9909638554216867,0.9917106254709872,664
3,Corn,0.9587628865979382,0.9841269841269841,0.9712793733681462,189
4,Grass-pasture,0.9948051948051948,0.9896640826873385,0.9922279792746114,387
5,Grass-trees,0.9651162790697675,0.9948630136986302,0.9797639123102867,584
6,Grass-pasture-mowed,1.0,1.0,1.0,22
7,Hay-windrowed,1.0,1.0,1.0,382
8,Oats,1.0,0.5,0.6666666666666666,16
9,Soybean-notill,0.972972972972973,0.9717223650385605,0.9723472668810289,778
10,Soybean-mintill,0.9888040712468193,0.9888040712468193,0.9888040712468193,1965
11,Soybean-clean,0.9729166666666667,0.9831578947368421,0.9780104712041885,475
12,Wheat,1.0,0.9878048780487805,0.9938650306748467,164
13,Woods,0.9960591133004926,0.9990118577075099,0.9975333004440059,1012
14,Buildings-Grass-Trees-Drives,0.9746835443037974,1.0,0.9871794871794872,308
15,Stone-Steel-Towers,1.0,0.9733333333333334,0.9864864864864865,75
