shot,HybridSN-small OA,Spectral Gated QNN OA,Delta OA,HybridSN-small Macro-F1,Spectral Gated QNN Macro-F1,Delta Macro-F1,runs
1,41.491175887368634,44.39619274241522,2.905016855046588,37.74882776745056,40.4982359235939,2.7494081561433403,5
5,72.01915403032721,70.51875498802873,-1.5003990422984836,63.80526208226654,63.13547906428616,-0.6697830179803743,5
10,80.12265004523978,80.50266411983513,0.3800140745953584,71.53315253298541,71.13870038043981,-0.39445215254559907,5
