dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,encoder_feature_dim,spectral_dim,train_size,validation_size,test_size
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,1,0,0.5053539559785841,0.6101819521202644,0.45042959203951083,0.44758593757419074,0.5408017206936755,56,14.19748306274414,13.463666200637817,1055,32,30,16,147,10086
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,1,1,0.46946262145548284,0.6486330392764703,0.41986943871879057,0.3942509755366794,0.47398375469878207,50,13.232340335845947,12.995994091033936,1055,32,30,16,147,10086
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,1,2,0.396192742415229,0.568974441522085,0.3388789210127673,0.3479379772745239,0.39621820977390093,42,12.11153793334961,13.576283931732178,1055,32,30,16,147,10086
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,1,3,0.4849296053936149,0.6414206721597299,0.43728958676059226,0.45175787349331187,0.494348255600652,53,14.14163088798523,13.383378267288208,1055,32,30,16,147,10086
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,1,4,0.3638707118778505,0.6111033212725976,0.3132603640583774,0.38337903230098885,0.36985526848578926,51,13.911940097808838,12.750306844711304,1055,32,30,16,147,10086
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,0,0.7338387869114126,0.83774524972521,0.7030055053967058,0.6685072569370991,0.7494677221130058,34,15.77400279045105,13.068858861923218,1055,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,1,0.6805666400638468,0.799766912872201,0.6446293881716285,0.6165378541881423,0.6862536885198294,9,6.928154945373535,13.907052040100098,1055,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,2,0.6577214684756584,0.7750350578842897,0.61635905720222,0.5749632064033372,0.6585005545980861,13,8.338186979293823,13.554156064987183,1055,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,3,0.7148842777334398,0.8311201290736667,0.6816072199427834,0.6544474463059224,0.7374598534040329,24,12.336190938949585,13.606321096420288,1055,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,4,0.738926576217079,0.8372026614816157,0.7060899245257424,0.6423181893798069,0.7469553012603203,34,16.02380895614624,13.733647108078003,1055,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,0,0.7795315170403136,0.8756652335893165,0.7531342847929553,0.6872186245206529,0.7912649291147035,10,9.173623085021973,12.382703065872192,1055,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,1,0.7932039810998291,0.8814219480176,0.7676705434344968,0.7075682427043047,0.7974878581080512,22,14.612461805343628,12.580127954483032,1055,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,2,0.8347240373982105,0.8939988075753329,0.8132235824280178,0.7292808120090921,0.8465912578949316,12,11.387058973312378,13.926294088363647,1055,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,3,0.7996380818337188,0.8962093843849142,0.7751407686135416,0.7203625934450362,0.8059111231182602,17,12.556702852249146,12.662715196609497,1055,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,4,0.8180355886196843,0.8866141125692965,0.7943487169467021,0.7125047463429048,0.8245110777285795,8,8.600249290466309,12.72066879272461,1055,32,30,160,142,9947
