dataset_id,model,OA,AA,Kappa,Macro-F1,Weighted-F1,training_time_seconds,device,note,subset_train,subset_validation,subset_test
indian_pines,hybridsn_linear,0.703780487804878,0.5366743579480115,0.6610358191120707,0.5264609282852201,0.6904547660036918,44.42671489715576,cpu,,,,
indian_pines,hybridsn_mlp,0.733780487804878,0.5628898125305144,0.6955244271373553,0.5715068846900246,0.7246461403733296,0.25102710723876953,cpu,,,,
indian_pines,hybridsn_bottleneck,0.46743902439024393,0.23574719979823094,0.3874249946559163,0.1853281437749797,0.40308622811966105,0.19307208061218262,cpu,,,,
indian_pines,hybridsn_qnn,0.20444444444444446,0.1725,0.14080000000000004,0.07084350549751087,0.08396267318223509,11.012741088867188,cpu,qnn_stratified_subset,363.0,363.0,1350.0
pavia_university,hybridsn_linear,0.9807433814505289,0.9699647422244381,0.9744789589067407,0.9683024087288712,0.9807984520665949,187.55878496170044,cpu,,,,
pavia_university,hybridsn_mlp,0.9867629010577991,0.9779532515985571,0.9824479860040446,0.9800637742813749,0.9867104091490863,0.8006761074066162,cpu,,,,
pavia_university,hybridsn_bottleneck,0.8523172228391094,0.5437196171590339,0.7989333195517664,0.49941187869790227,0.7967508143043978,0.736098051071167,cpu,,,,
pavia_university,hybridsn_qnn,,,,,,,cpu,skipped_in_cpu_pilot,,,
salinas,hybridsn_linear,0.966862183631997,0.9823694555665866,0.9631463439903538,0.9821197645630486,0.9670996334280136,240.6771969795227,cpu,,,,
salinas,hybridsn_mlp,0.9757066321817846,0.9885096856492732,0.9729534337164416,0.9886750228875343,0.9757360076242962,1.3202109336853027,cpu,,,,
salinas,hybridsn_bottleneck,0.7395390726029928,0.5595143085554535,0.7014640326074897,0.535651350881531,0.6641953954098891,0.9213628768920898,cpu,,,,
salinas,hybridsn_qnn,,,,,,,cpu,skipped_in_cpu_pilot,,,
