dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,encoder_feature_dim,spectral_dim,train_size,validation_size,test_size
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,0,0.7366320830007981,0.8391931597398352,0.7059952913891654,0.6711363789611149,0.7516936002017656,26,13.155648946762085,13.90441608428955,2000,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,1,0.6984237829209896,0.8046946410539775,0.6629378609313088,0.6257065152474512,0.6958187252246388,10,7.339099884033203,14.097599029541016,2000,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,2,0.6784716679968077,0.7910406967198338,0.6386612845638715,0.6034756850833789,0.6737609913750463,21,10.216903924942017,12.739995241165161,2000,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,3,0.7128890662410216,0.8245724995695847,0.6794961895759365,0.6527430760566786,0.7353348109618998,30,12.983418941497803,12.638598203659058,2000,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,4,0.7331404628890662,0.832722575721545,0.6996850759962224,0.6331489189905204,0.7412676439120326,33,13.878655910491943,12.522358179092407,2000,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,0,0.780637378103951,0.8765918398374991,0.7541519957227857,0.6943154621932153,0.7920359025950602,9,8.566153049468994,12.489259958267212,2000,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,1,0.7933045139237961,0.8709536075027262,0.7676327320808911,0.6982423707895349,0.7986810338367039,13,10.884507894515991,12.614229917526245,2000,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,2,0.8357293656378808,0.8966870667204649,0.814348398539144,0.7335903827736809,0.8463301328464575,15,11.806209087371826,12.688331127166748,2000,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,3,0.7991354177138836,0.8959159188765663,0.7745550358486095,0.7241372816129256,0.8050511707148386,14,12.195983648300171,13.666392803192139,2000,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,4,0.8270835427767166,0.8939663858481554,0.8044335217498156,0.7267817926660591,0.8334802150605438,9,9.168320894241333,13.106065034866333,2000,32,30,160,142,9947
