dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,1,0.005891834851354361,0.05000000074505806,3.019880747795105,2.90993492603302,0.5497290343046188,0.075,2.5855371713638307,0.2,0.2,0.1466666666666666,0.14175724637681159,0.14175724637681159
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,2,0.01191119384020567,0.10000000149011612,2.4596479177474975,2.370625042915344,0.4451144516468048,0.30625,2.1027541637420653,0.36875,0.36875,0.32666666666666666,0.277216576648409,0.27721657664840904
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,3,0.01832723245024681,0.15000000596046448,2.020342028141022,1.9160712242126465,0.5213541105389595,0.4625,1.6899031043052672,0.65,0.6499999999999999,0.6266666666666667,0.5745140326561653,0.5745140326561653
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,4,0.025205016136169434,0.20000000298023224,1.6234145045280457,1.5260254740715027,0.48694527596235276,0.7,1.3413930237293243,0.78125,0.78125,0.7666666666666666,0.7319878390530564,0.7319878390530563
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,5,0.03267386555671692,0.25,1.319322645664215,1.203669273853302,0.5782668605446816,0.8125,1.05677011013031,0.81875,0.81875,0.8066666666666666,0.7740428305310337,0.7740428305310337
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,6,0.04074506834149361,0.30000001192092896,1.0348228991031647,0.9442123115062714,0.45305296331644057,0.84375,0.8367077529430389,0.875,0.875,0.8666666666666667,0.838328678278769,0.8383286782787691
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,7,0.0493604838848114,0.3499999940395355,0.8527102053165436,0.750726044178009,0.5099208056926727,0.8375,0.6721747487783432,0.875,0.875,0.8666666666666667,0.8692551691729323,0.8692551691729324
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,8,0.05865943059325218,0.4000000059604645,0.6944080650806427,0.6022758901119232,0.4606608718633652,0.86875,0.552667161822319,0.95,0.95,0.9466666666666667,0.9462598804704068,0.9462598804704069
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,9,0.0687296912074089,0.44999998807907104,0.6022731959819794,0.49526882767677305,0.5350218266248703,0.9375,0.4672037050127983,0.91875,0.91875,0.9133333333333333,0.918546365914787,0.9185463659147871
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,10,0.07946213334798813,0.5,0.5220437973737717,0.4220974087715149,0.49973189681768415,0.9375,0.4055491045117378,0.94375,0.9437500000000001,0.94,0.9342105263157895,0.9342105263157896
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,11,0.09101752936840057,0.550000011920929,0.4569228768348694,0.36676543653011323,0.45078718960285186,0.94375,0.3578712023794651,0.9375,0.9375,0.9333333333333333,0.9279448621553885,0.9279448621553884
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,12,0.10316582769155502,0.6000000238418579,0.43803284764289857,0.32332810163497927,0.5735236823558807,0.9375,0.3228072911500931,0.94375,0.9437500000000001,0.94,0.9432292853345485,0.9432292853345485
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,13,0.11633649468421936,0.6499999761581421,0.3814087450504303,0.29060588628053663,0.4540142700076103,0.93125,0.29319428876042364,0.9125,0.9125000000000001,0.9066666666666666,0.9011417432470065,0.9011417432470065
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,14,0.13058742880821228,0.699999988079071,0.37106229960918424,0.2642463341355324,0.5340798303484917,0.925,0.26877641305327415,0.93125,0.93125,0.9266666666666666,0.9222630439735703,0.9222630439735703
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,15,0.14565211534500122,0.75,0.32056897729635236,0.23769391477108,0.414375314116478,0.95625,0.24744509905576706,0.94375,0.9437500000000001,0.94,0.9422955785184888,0.9422955785184888
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,16,0.16192883253097534,0.800000011920929,0.31228578090667725,0.21784235537052155,0.47221709340810775,0.95625,0.22938561737537383,0.94375,0.9437500000000001,0.94,0.9407581453634084,0.9407581453634085
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,17,0.1793866902589798,0.8500000238418579,0.29245793968439104,0.19941039383411407,0.4652377054095268,0.96875,0.21344813704490662,0.93125,0.93125,0.9266666666666666,0.9272164786967418,0.927216478696742
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,18,0.19794389605522156,0.8999999761581421,0.26298541128635405,0.18139203116297722,0.4079669028520584,0.96875,0.19939833506941795,0.9125,0.9125000000000001,0.9066666666666666,0.9070676691729324,0.9070676691729324
