dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
pavia_university,ssrn_lite,10,0,0.6411869659122922,0.7547709685776716,0.5529379112419921,0.6783903342941062,0.6551194260259077,80,55.218993186950684,63.72002577781677,28681,90,90,42596
pavia_university,spectralformer_lite,10,0,0.8615597708705043,0.8989874301758289,0.8212686812447142,0.8594705242140902,0.8674141759220189,70,4.735267162322998,4.314825773239136,53673,90,90,42596
pavia_university,dbda_lite,10,0,0.9021034838952015,0.8931532495204976,0.8710840956472956,0.8821870831191981,0.905611770735277,80,4.585890054702759,4.1270081996917725,45061,90,90,42596
pavia_university,ssrn_lite,10,1,0.6638886280401916,0.842326142753068,0.5999114107494898,0.7785194174555335,0.6779710872064284,65,58.16607403755188,63.49471998214722,28681,90,90,42596
pavia_university,spectralformer_lite,10,1,0.7755423044417317,0.8694495585619841,0.716626138079639,0.8235898174125245,0.7855792834044445,70,4.396465301513672,4.381089925765991,53673,90,90,42596
pavia_university,dbda_lite,10,1,0.8977368767020377,0.9188973024505915,0.8668706844395134,0.9093932112906944,0.9014141180176245,80,4.450397253036499,4.225316047668457,45061,90,90,42596
pavia_university,ssrn_lite,10,2,0.7308197952859423,0.7732071855805731,0.6521542509413518,0.6884102674906528,0.713881030072378,80,58.959041118621826,61.897751808166504,28681,90,90,42596
pavia_university,spectralformer_lite,10,2,0.750821673396563,0.8181282591810671,0.6815298982291602,0.7409109282906587,0.7595761538652042,30,3.6821200847625732,4.196773290634155,53673,90,90,42596
pavia_university,dbda_lite,10,2,0.8648699408395154,0.9199265766006144,0.8267174663316204,0.8798550390047316,0.8716928465043279,80,4.640275955200195,4.115521192550659,45061,90,90,42596
pavia_university,ssrn_lite,10,3,0.7129777443891445,0.7683637024681037,0.6306679380823652,0.7124420028231577,0.7140630628844027,70,59.681288957595825,61.048523902893066,28681,90,90,42596
pavia_university,spectralformer_lite,10,3,0.8483895201427364,0.9112290510799641,0.8078589972802886,0.8470693983045791,0.8594601980842452,80,4.178077220916748,3.857306957244873,53673,90,90,42596
pavia_university,dbda_lite,10,3,0.8795896328293736,0.9181242167605661,0.8441050671538607,0.8985413415136614,0.8834241540661436,70,4.109586954116821,3.590134859085083,45061,90,90,42596
pavia_university,ssrn_lite,10,4,0.7674664287726547,0.7786842001455226,0.6888528874638132,0.7123245786592691,0.7534821462565588,80,53.77586817741394,59.67168593406677,28681,90,90,42596
pavia_university,spectralformer_lite,10,4,0.8445159169875106,0.9116286805222443,0.8021095126906213,0.8570891936747524,0.8490984710685482,55,4.157814025878906,3.7496471405029297,53673,90,90,42596
pavia_university,dbda_lite,10,4,0.8859752089398065,0.9311676878837365,0.8532409987284193,0.8859183951497112,0.8874930605565208,80,4.058527946472168,3.5906970500946045,45061,90,90,42596
salinas,ssrn_lite,10,0,0.7424966083740638,0.8539489196656762,0.7181704916380238,0.800190065519585,0.6829913736913005,80,90.08854293823242,74.39699816703796,28800,160,160,53809
salinas,spectralformer_lite,10,0,0.8781430615696258,0.9533603108910957,0.8652995320654558,0.9413609979902161,0.8760269982291957,60,6.629822015762329,4.716127872467041,54352,160,160,53809
salinas,dbda_lite,10,0,0.8891821070824584,0.9578238839067286,0.8773468526140842,0.9493030468830976,0.8886932453513651,65,6.837661981582642,4.486567974090576,45404,160,160,53809
salinas,ssrn_lite,10,1,0.8304372874426211,0.8947134336040715,0.8130198509806803,0.8759281472794231,0.826577921076318,75,90.54591798782349,75.9340660572052,28800,160,160,53809
salinas,spectralformer_lite,10,1,0.9018008139902247,0.9567773020536802,0.890918672756405,0.9507981741935918,0.9019665525362861,50,6.92613673210144,5.061761140823364,54352,160,160,53809
salinas,dbda_lite,10,1,0.8984556486833057,0.9567297729606293,0.8871167888795348,0.9516623042498555,0.8982795732013104,80,7.071264028549194,4.602468013763428,45404,160,160,53809
salinas,ssrn_lite,10,2,0.7771190693006746,0.8982092592490083,0.7559511757144702,0.8645258411060206,0.7340880221649733,75,101.16680026054382,79.83542227745056,28800,160,160,53809
salinas,spectralformer_lite,10,2,0.8700960805813154,0.9420538400248,0.855431989854124,0.9379317977451807,0.8698438946136884,55,7.261606693267822,5.268500089645386,54352,160,160,53809
salinas,dbda_lite,10,2,0.8272779646527533,0.9306507098416594,0.8086261471675924,0.9217798787208001,0.8279473947736389,75,7.538945913314819,5.203892946243286,45404,160,160,53809
salinas,ssrn_lite,10,3,0.758088795554647,0.8950540478084632,0.735466193343931,0.8511091474970146,0.7010710596464372,75,102.10916829109192,78.59932374954224,28800,160,160,53809
salinas,spectralformer_lite,10,3,0.9136761508297868,0.9616920161595702,0.9041825054263696,0.9546156989126375,0.913755815561649,40,6.508875608444214,5.248784065246582,54352,160,160,53809
salinas,dbda_lite,10,3,0.8633314129606572,0.9485737681420934,0.8490303052194572,0.937141230218325,0.8599426543390242,50,7.688920736312866,5.177618026733398,45404,160,160,53809
salinas,ssrn_lite,10,4,0.762344589195116,0.8895112574524617,0.7398611179593053,0.8512986939039944,0.7055978519861182,70,98.48237085342407,79.847895860672,28800,160,160,53809
salinas,spectralformer_lite,10,4,0.8808749465702763,0.9442815005072948,0.8673141951292466,0.937745380118234,0.8795558649202677,65,7.8009209632873535,5.524452209472656,54352,160,160,53809
salinas,dbda_lite,10,4,0.7913174376033749,0.926098725501985,0.7712135265157068,0.8981027729924178,0.7494845709805129,45,7.359535217285156,5.275352954864502,45404,160,160,53809
