dataset,shot,seed,epoch,train_loss,train_ce_loss,train_metric_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
indian_pines,5,3,1,2.844910478591919,2.748232698440552,0.4833888649940491,0.0625,2.514423441064769,0.1724137931034483,0.1609375,0.11219960202051127,0.1427455220218378,0.15337436912754515
indian_pines,5,3,2,2.5081993103027345,2.4063437461853026,0.5092775344848632,0.275,2.2772809867201182,0.36551724137931035,0.34375,0.3193530282157252,0.30224182733293986,0.32247374050531297
indian_pines,5,3,3,2.209902858734131,2.1076014280319213,0.5115071415901185,0.475,2.063610108145352,0.496551724137931,0.46249999999999997,0.45975603531873643,0.4280833514695519,0.45938609168242645
indian_pines,5,3,4,1.928648042678833,1.834392523765564,0.47127760052680967,0.65,1.8726540335293473,0.6275862068965518,0.58125,0.600367478180983,0.542552729191574,0.5856971291687957
indian_pines,5,3,5,1.691430687904358,1.5905921697616576,0.5041926026344299,0.7625,1.7026309375105233,0.6827586206896552,0.66875,0.6601100693028945,0.6426819375093032,0.6548052211056004
indian_pines,5,3,6,1.4482762098312378,1.3646146297454833,0.41830793023109436,0.8625,1.5528200116650812,0.7379310344827587,0.7479166666666666,0.7194501018329938,0.7316231476641692,0.7214845460815354
indian_pines,5,3,7,1.274066400527954,1.1649792194366455,0.5454357385635376,0.9125,1.4221368921214137,0.7655172413793103,0.7875,0.7491604762389334,0.7642865589218143,0.7535039424118105
indian_pines,5,3,8,1.086665439605713,0.9881515860557556,0.49256929457187654,0.9625,1.3100317034228095,0.8,0.81875,0.7860268674944025,0.7960267550002458,0.7878063990266402
indian_pines,5,3,9,0.922898781299591,0.8336179852485657,0.44640393555164337,0.975,1.2175724292623586,0.8,0.81875,0.7860268674944025,0.7930505645240552,0.7845223267770508
indian_pines,5,3,10,0.7908916115760803,0.7065173149108886,0.4218714594841003,0.9875,1.1416225203152361,0.8137931034482758,0.83125,0.8007836352534093,0.8098634300211313,0.8030744542221002
indian_pines,5,3,11,0.6746407508850097,0.5963681101799011,0.39136322438716886,0.9875,1.081185531616211,0.8137931034482758,0.83125,0.8007836352534092,0.8122020738119808,0.8056550266809689
indian_pines,5,3,12,0.6262008547782898,0.5079265475273133,0.5913715839385987,1.0,1.0328454099852464,0.8206896551724138,0.8375,0.8081620191329126,0.8220194327731092,0.8164879745001449
indian_pines,5,3,13,0.5352598190307617,0.432305508852005,0.5147715389728547,1.0,0.9961720548827072,0.8206896551724138,0.8375,0.8081620191329126,0.8220194327731092,0.8164879745001449
indian_pines,5,3,14,0.47676109671592715,0.3719785749912262,0.5239126026630402,1.0,0.9661772892392915,0.8206896551724138,0.8375,0.8081620191329126,0.8220194327731092,0.8164879745001449
indian_pines,5,3,15,0.4090413272380829,0.32298394441604616,0.43028690218925475,1.0,0.9425262401843894,0.8275862068965517,0.84375,0.815540403012416,0.8307510504201681,0.8261228629382787
indian_pines,5,3,16,0.37472182512283325,0.28155584931373595,0.46582989692687987,1.0,0.9265398305037926,0.8275862068965517,0.84375,0.815540403012416,0.8307510504201681,0.8261228629382787
indian_pines,5,3,17,0.3309785008430481,0.24699781835079193,0.4199034124612808,1.0,0.9125969377057306,0.8275862068965517,0.84375,0.815540403012416,0.8307510504201681,0.8261228629382787
indian_pines,5,3,18,0.3075702846050262,0.21926425099372865,0.4415301501750946,1.0,0.9018278549457418,0.8275862068965517,0.84375,0.815540403012416,0.8307510504201681,0.8261228629382787
indian_pines,5,3,19,0.2693703591823578,0.19525504410266875,0.3705765545368195,1.0,0.8937152599466258,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,20,0.2928679347038269,0.17539443969726562,0.5873674988746643,1.0,0.888908601629323,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,21,0.22664946019649507,0.1581459105014801,0.34251774847507477,1.0,0.8852560585942761,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,22,0.25016738176345826,0.1438266694545746,0.5317035675048828,1.0,0.8818348785926555,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,23,0.1916889190673828,0.1309679016470909,0.303605055809021,1.0,0.8796887151126204,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,24,0.2017480194568634,0.1203013002872467,0.4072336107492447,1.0,0.879265467873935,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,25,0.16670791059732437,0.11006392389535904,0.2832199364900589,1.0,0.879949480911781,0.8344827586206897,0.85,0.8229187868919194,0.8356315113764804,0.8315081991659338
indian_pines,5,3,26,0.20300794541835784,0.10218069106340408,0.5041362553834915,1.0,0.8805991271446492,0.8413793103448276,0.85625,0.8302971707714227,0.8431043374634368,0.8397540762274031
indian_pines,5,3,27,0.18206486403942107,0.09430127888917923,0.4388179272413254,1.0,0.8823084979221738,0.8413793103448276,0.85625,0.8302971707714227,0.8431043374634368,0.8397540762274031
indian_pines,5,3,28,0.17970388531684875,0.0875637635588646,0.46070060729980467,1.0,0.8843098903524464,0.8413793103448276,0.85625,0.8302971707714227,0.8431043374634368,0.8397540762274031
indian_pines,5,3,29,0.1554597407579422,0.08162511065602303,0.369173139333725,1.0,0.8871460306233373,0.8413793103448276,0.85625,0.8302971707714227,0.8446374075880385,0.8414457398131703
indian_pines,5,3,30,0.18445651829242707,0.07615951001644135,0.5414850294589997,1.0,0.8902099691588303,0.8413793103448276,0.85625,0.8302971707714227,0.8446374075880385,0.8414457398131703
indian_pines,5,3,31,0.12016563564538955,0.07115350514650345,0.24506065845489503,1.0,0.8937140777193266,0.8413793103448276,0.85625,0.8302971707714227,0.8446374075880385,0.8414457398131703
indian_pines,5,3,32,0.14233706891536713,0.06643934100866318,0.3794886291027069,1.0,0.8969484477207579,0.8413793103448276,0.85625,0.8302971707714227,0.8446374075880385,0.8414457398131703
indian_pines,5,3,33,0.12562240213155745,0.06272661983966828,0.3144789084792137,1.0,0.9005454359383419,0.8344827586206897,0.85,0.8229187868919194,0.8356504794834633,0.8315291294908804
indian_pines,5,3,34,0.14882533848285676,0.05912511795759201,0.44850108623504636,1.0,0.9038173609766467,0.8275862068965517,0.84375,0.815540403012416,0.8288925226775525,0.8240720737050479
indian_pines,5,3,35,0.13589587807655334,0.05587656944990158,0.40009652078151703,1.0,0.9066338325368947,0.8275862068965517,0.84375,0.815540403012416,0.8288925226775525,0.8240720737050479
indian_pines,5,3,36,0.1349097654223442,0.052806299179792404,0.41051734089851377,1.0,0.9096848109672809,0.8344827586206897,0.85,0.8229187868919194,0.8356504794834633,0.8315291294908804
indian_pines,5,3,37,0.11717092245817184,0.05004301816225052,0.3356395274400711,1.0,0.9130916661229627,0.8344827586206897,0.85,0.8229187868919194,0.8356504794834633,0.8315291294908804
indian_pines,5,3,38,0.1356975644826889,0.04733374118804932,0.4418191105127335,1.0,0.9156665752673971,0.8344827586206897,0.85,0.8229187868919194,0.8356504794834633,0.8315291294908804
indian_pines,5,3,39,0.10325192958116532,0.044925634562969205,0.29163147062063216,1.0,0.9188382970875707,0.8344827586206897,0.85,0.8229187868919194,0.8356504794834633,0.8315291294908804
