dataset,shot,seed,epoch,train_loss,train_ce_loss,train_metric_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,10,0,1,2.5304532289505004,2.495762658119202,0.17345290035009384,0.20625,2.17353675365448,0.33125,0.33125,0.2866666666666666,0.23171353735869865,0.23171353735869865
salinas,10,0,2,1.9959859251976013,1.9646669507026673,0.15659485682845115,0.3875,1.7043619513511659,0.525,0.5249999999999999,0.4933333333333333,0.4466252121302872,0.4466252121302873
salinas,10,0,3,1.5506428480148315,1.5228649139404298,0.13888962045311928,0.6375,1.3236155390739441,0.78125,0.78125,0.7666666666666666,0.7328659027958226,0.7328659027958228
salinas,10,0,4,1.186464524269104,1.1615732550621032,0.12445632517337799,0.84375,1.0137986600399018,0.8875,0.8875,0.88,0.869731863720067,0.869731863720067
salinas,10,0,5,0.9034243583679199,0.8798885941505432,0.11767882406711579,0.90625,0.770577585697174,0.90625,0.90625,0.9,0.8948820915926179,0.8948820915926179
salinas,10,0,6,0.6819981515407563,0.6597487807273865,0.11124683935195208,0.9125,0.586310350894928,0.93125,0.93125,0.9266666666666666,0.919329573934837,0.9193295739348372
salinas,10,0,7,0.5204247087240219,0.49910270869731904,0.1066100268624723,0.93125,0.4645902216434479,0.94375,0.9437500000000001,0.94,0.938789280894544,0.9387892808945442
salinas,10,0,8,0.42363243699073794,0.403100049495697,0.10266195498406887,0.90625,0.3843563497066498,0.925,0.925,0.92,0.9044059011164274,0.9044059011164274
salinas,10,0,9,0.34952695965766906,0.32942067086696625,0.10053144413977862,0.95625,0.3277329534292221,0.95625,0.95625,0.9533333333333334,0.9525255446308079,0.9525255446308079
salinas,10,0,10,0.29894419461488725,0.2792268082499504,0.09858693862333893,0.94375,0.2896159589290619,0.94375,0.9437500000000001,0.94,0.9342105263157895,0.9342105263157896
salinas,10,0,11,0.26465284675359724,0.24531000703573227,0.09671417325735092,0.96875,0.25853506848216057,0.9375,0.9375,0.9333333333333333,0.93734335839599,0.9373433583959901
salinas,10,0,12,0.23703163415193557,0.21804138273000717,0.0949512530118227,0.96875,0.23565775230526925,0.93125,0.93125,0.9266666666666666,0.931234335839599,0.931234335839599
salinas,10,0,13,0.21741834431886672,0.1987232081592083,0.093475685082376,0.96875,0.2184625968337059,0.94375,0.9437500000000001,0.94,0.9432292853345485,0.9432292853345485
salinas,10,0,14,0.19852131605148315,0.18025691360235213,0.09132200102321804,0.975,0.204341172426939,0.95,0.95,0.9466666666666667,0.9489773025915171,0.9489773025915171
salinas,10,0,15,0.18449951633810996,0.16668745875358582,0.08906028605997562,0.9625,0.19140410386025905,0.9375,0.9375,0.9333333333333333,0.93734335839599,0.9373433583959901
salinas,10,0,16,0.17201222777366637,0.15464305579662324,0.08684585988521576,0.9625,0.18251071572303773,0.95,0.95,0.9466666666666667,0.9438767859820492,0.943876785982049
salinas,10,0,17,0.16039924323558807,0.14371380880475043,0.08342718011699617,0.98125,0.17323208414018154,0.9375,0.9375,0.9333333333333333,0.93734335839599,0.9373433583959901
salinas,10,0,18,0.1499060608446598,0.13406564444303512,0.07920208214782179,0.98125,0.16615782715380192,0.94375,0.9437500000000001,0.94,0.9437343358395991,0.9437343358395991
salinas,10,0,19,0.1394581213593483,0.12459425628185272,0.07431931979954243,0.98125,0.15998755022883415,0.94375,0.9437500000000001,0.94,0.9432292853345485,0.9432292853345485
