shot,seed,class_id,class_name,support,hybridsn_precision,qnn_precision,delta_precision,hybridsn_recall,qnn_recall,delta_recall,hybridsn_f1,qnn_f1,delta_f1
5,0,0,Alfalfa,33,0.1683673469387755,0.2773109243697479,0.10894357743097241,1.0,1.0,0.0,0.2882096069868995,0.4342105263157895,0.14600091932888998
5,0,1,Corn-notill,1413,0.7444717444717445,0.7868421052631579,0.04237036079141343,0.643312101910828,0.6348195329087049,-0.00849256900212314,0.6902050113895216,0.7027027027027027,0.012497691313181125
5,0,2,Corn-mintill,815,0.6666666666666666,0.7531760435571688,0.0865093768905022,0.5668711656441717,0.50920245398773,-0.05766871165644172,0.6127320954907162,0.6076134699853587,-0.005118625505357466
5,0,3,Corn,222,0.9086294416243654,0.908653846153846,2.4404529480603898e-05,0.8063063063063063,0.8513513513513513,0.04504504504504503,0.8544152744630071,0.8790697674418605,0.02465449297885336
5,0,4,Grass-pasture,468,0.9730538922155688,1.0,0.026946107784431184,0.6944444444444444,0.7072649572649573,0.012820512820512886,0.8104738154613467,0.8285356695869838,0.0180618541256371
5,0,5,Grass-trees,715,0.8973988439306358,0.8588709677419355,-0.03852787618870035,0.8685314685314686,0.8937062937062937,0.025174825174825166,0.8827292110874201,0.8759424263193969,-0.006786784768023191
5,0,6,Grass-pasture-mowed,19,0.2602739726027397,0.3015873015873015,0.041313328984561803,1.0,1.0,0.0,0.4130434782608695,0.4634146341463415,0.050371155885471974
5,0,7,Hay-windrowed,463,0.8558225508317929,0.774247491638796,-0.0815750591929969,1.0,1.0,0.0,0.9223107569721116,0.8727615457115928,-0.04954921126051881
5,0,8,Oats,12,0.1290322580645161,0.1518987341772152,0.022866476112699097,1.0,1.0,0.0,0.2285714285714285,0.2637362637362637,0.03516483516483518
5,0,9,Soybean-notill,957,0.8198103266596417,0.7771535580524345,-0.04265676860720724,0.812957157784744,0.8672936259143156,0.0543364681295716,0.8163693599160545,0.8197530864197531,0.0033837265036985587
5,0,10,Soybean-mintill,2440,0.9512345679012346,0.9391044776119404,-0.012130090289294237,0.6315573770491804,0.644672131147541,0.013114754098360604,0.7591133004926108,0.7645200486026732,0.005406748110062365
5,0,11,Soybean-clean,578,0.3877551020408163,0.2632084534101825,-0.1245466486306338,0.5916955017301038,0.4740484429065744,-0.11764705882352938,0.4684931506849315,0.3384805435453984,-0.1300126071395331
5,0,12,Wheat,190,0.4921875,0.5264623955431755,0.03427489554317553,0.9947368421052633,0.9947368421052633,0.0,0.6585365853658537,0.6885245901639344,0.029988004798080725
