shot,class_id,class_name,support_mean,hybridsn_f1,qnn_f1,delta_f1,delta_f1_std,hybridsn_precision,qnn_precision,delta_precision,hybridsn_recall,qnn_recall,delta_recall,weighted_f1_contribution
5,12,Wheat,190.0,0.5415157009339151,0.6098413625538701,0.06832566161995493,0.07737439046666919,0.37660998395299616,0.4473179621058264,0.0707079781528303,0.9989473684210527,0.9989473684210527,0.0,12.981875707791437
5,0,Alfalfa,33.0,0.3827612156230379,0.42459463264330954,0.041833417020271726,0.05904821784061152,0.24448792382236118,0.2772204266321913,0.032732502809830144,0.9939393939393939,1.0,0.006060606060606077,1.380502761668967
5,6,Grass-pasture-mowed,19.0,0.42711608659703015,0.45385939741750364,0.02674331082047342,0.03533913864425964,0.2741066393342343,0.29544423830138117,0.02133759896714686,1.0,1.0,0.0,0.508122905588995
5,4,Grass-pasture,468.0,0.7278024205290887,0.744379166211091,0.016576745682002358,0.01860784642014341,0.768116246931891,0.7926941748028451,0.024577927870954187,0.7017094017094017,0.7102564102564103,0.008547008547008562,7.757916979177104
5,8,Oats,12.0,0.2005475321122391,0.21299548323587944,0.012447951123640378,0.040612848111457656,0.11204883246896594,0.12114683355517689,0.00909800108621094,1.0,0.9666666666666666,-0.033333333333333326,0.14937541348368455
5,10,Soybean-mintill,2440.0,0.7846390620790837,0.7920338425560838,0.007394780477000063,0.014239439533763505,0.887450565083077,0.8947469262767148,0.00729636119363779,0.7077868852459016,0.7177868852459016,0.010000000000000009,18.04326436388015
5,2,Corn-mintill,815.0,0.4902816592674343,0.49285080021583233,0.0025691409483980855,0.10573270578913978,0.5682659663576273,0.5678405918367417,-0.0004253745208854909,0.4620858895705521,0.46085889570552147,-0.001226993865030651,2.0938498729444395
5,5,Grass-trees,715.0,0.8429392821685348,0.8421611670157253,-0.0007781151528095664,0.02563738067621584,0.8230933224483883,0.8127683786818922,-0.01032494376649611,0.8721678321678322,0.8841958041958042,0.012027972027971989,-0.55635233425884
5,9,Soybean-notill,957.0,0.7556386720161161,0.7524024508879956,-0.003236221128120631,0.01593127242208185,0.8085592248809427,0.7564136747410971,-0.052145550139845474,0.7111807732497388,0.7517241379310345,0.040543364681295734,-3.097063619611444
5,14,Buildings-Grass-Trees-Drives,371.0,0.7270220829099088,0.7171419207815266,-0.009880162128382275,0.06288687143181723,0.6087607317107204,0.5776107297548704,-0.031150001955850094,0.9633423180592992,0.9811320754716981,0.017789757412398965,-3.665540149629824
5,7,Hay-windrowed,463.0,0.9380968097881986,0.9253186435263142,-0.012778166261884305,0.025294673480327653,0.8874546710175949,0.864700552926282,-0.022754118091312846,0.9974082073434125,0.9995680345572355,0.0021598272138228848,-5.916290979252433
5,15,Stone-Steel-Towers,78.0,0.5220134158103342,0.5086873916103347,-0.013326024199999464,0.03690938556690346,0.36602880241062496,0.3500732157772258,-0.015955586633399254,0.9897435897435898,0.9923076923076923,0.002564102564102555,-1.0394298875999581
5,13,Woods,1250.0,0.8784969723936763,0.8628747788473996,-0.015622193546276853,0.013308989695126098,0.9504134896234936,0.9235295022048934,-0.026883987418600163,0.82736,0.82256,-0.0048000000000000265,-19.527741932846066
5,3,Corn,222.0,0.818462047755473,0.798585182306112,-0.019876865449361115,0.04883071205118402,0.7796978365239118,0.744898717588004,-0.03479911893590777,0.909009009009009,0.8981981981981981,-0.010810810810810857,-4.412664129758167
5,1,Corn-notill,1413.0,0.6418358819707981,0.6189225154769676,-0.02291336649383041,0.030383212367773953,0.790414137689078,0.8040186878935909,0.013604550204512966,0.5586694975230007,0.5235668789808917,-0.035102618542109,-32.37658685578237
5,11,Soybean-clean,578.0,0.529673091207777,0.5027302972211638,-0.02694279398661309,0.06154259035302782,0.5751992579566682,0.5456830608356562,-0.02951619712101201,0.5321799307958478,0.49550173010380616,-0.03667820069204154,-15.572934924262366
10,2,Corn-mintill,810.0,0.7327951325215514,0.7772704232745188,0.04447529075296732,0.04296655382946331,0.7485561534385068,0.8080051226432692,0.059448969204762524,0.7330864197530864,0.7511111111111111,0.018024691358024692,36.02498550990353
10,15,Stone-Steel-Towers,73.0,0.5616903408270152,0.5971917491804104,0.03550140835339529,0.08673128471220248,0.3996583973325884,0.43945923463315123,0.039800837300562865,1.0,0.9945205479452055,-0.005479452054794542,2.5916028097978563
10,12,Wheat,185.0,0.7545577648825338,0.788347272934603,0.03378950805206926,0.07258702674848656,0.6178356602189097,0.6566447313277479,0.0388090711088382,0.9881081081081081,0.9978378378378379,0.009729729729729696,6.2510589896328135
10,1,Corn-notill,1408.0,0.7394515363652097,0.7554954946085346,0.01604395824332494,0.03665747285477998,0.7631831703580967,0.8007214651288781,0.03753829477078148,0.7208806818181819,0.7171875,-0.003693181818181812,22.589893206601516
10,10,Soybean-mintill,2435.0,0.8132647587057859,0.8244503160404528,0.011185557334666885,0.01621981785182512,0.9534263651039823,0.9528647663557124,-0.0005615987482697982,0.7123613963039015,0.7296098562628337,0.01724845995893225,27.236832109913866
10,5,Grass-trees,710.0,0.8517567111479882,0.8604423467932047,0.008685635645216516,0.020911479786580242,0.8221271683739342,0.824873853403848,0.0027466850299137533,0.8938028169014085,0.9084507042253522,0.01464788732394362,6.166801308103727
10,0,Alfalfa,29.0,0.4325548344007581,0.43484225839095964,0.002287423990201576,0.05335237268480847,0.28306661299627334,0.28287040791102475,-0.00019620508524857417,1.0,1.0,0.0,0.0663352957158457
10,4,Grass-pasture,463.0,0.8568769842423066,0.8587944324597124,0.0019174482174058704,0.01995425960465881,0.9161001053232593,0.9269844188765364,0.01088431355327708,0.8090712742980563,0.8064794816414687,-0.0025917926565874883,0.887778524658918
10,13,Woods,1245.0,0.9361808949665814,0.9368436531927765,0.0006627582261950149,0.012432782932749782,0.9573511286876725,0.9463741700653813,-0.010976958622291245,0.9190361445783133,0.9307630522088353,0.01172690763052211,0.8251339916127935
10,9,Soybean-notill,952.0,0.7849559411947384,0.782893588126879,-0.0020623530678593794,0.020083880556947743,0.7668329681471742,0.7662608475078714,-0.0005721206393026979,0.8153361344537815,0.8121848739495798,-0.0031512605042016916,-1.9633601206021292
10,7,Hay-windrowed,458.0,0.9686319377871324,0.9628685662125214,-0.005763371574611131,0.018488372456131656,0.9401534430116405,0.9295534540414956,-0.010599988970144959,1.0,1.0,0.0,-2.639624181171898
10,8,Oats,8.0,0.2224768650752555,0.21052868849479017,-0.011948176580465356,0.04340206568366103,0.12828827143720758,0.1202170568972188,-0.008071214539988776,1.0,0.975,-0.025,-0.09558541264372285
10,11,Soybean-clean,573.0,0.6912481430514272,0.6731174318944751,-0.01813071115695216,0.04967587540887145,0.7944938845512054,0.7403736505155624,-0.05412023403564307,0.619197207678883,0.6233856893542757,0.004188481675392719,-10.388897492933587
10,3,Corn,217.0,0.8679573079964007,0.8469165930337483,-0.021040714962652383,0.04164754505019149,0.7887370721192231,0.7545762151169111,-0.034160857002311903,0.9769585253456222,0.9778801843317971,0.0009216589861750446,-4.565835146895568
10,6,Grass-pasture-mowed,15.0,0.45116284061517326,0.4265526883878724,-0.02461015222730082,0.06523319627171176,0.2962568561092309,0.27295008912655966,-0.023306766982671246,1.0,1.0,0.0,-0.3691522834095123
10,14,Buildings-Grass-Trees-Drives,366.0,0.7797424114978091,0.7550293217192917,-0.024713089778517338,0.02970795575574174,0.6488714369249766,0.6138752933057805,-0.03499614361919603,0.9950819672131148,0.994535519125683,-0.0005464480874317168,-9.044990858937346
