class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.25,0.1891891891891892,0.2153846153846154,37
1,Corn-notill,0.8041431261770244,0.7478108581436077,0.7749546279491834,1142
2,Corn-mintill,0.72,0.677710843373494,0.6982156710628394,664
3,Corn,0.875,0.7037037037037037,0.7800586510263929,189
4,Grass-pasture,0.8706199460916442,0.834625322997416,0.8522427440633246,387
5,Grass-trees,0.9273927392739274,0.9623287671232876,0.9445378151260504,584
6,Grass-pasture-mowed,0.5882352941176471,0.45454545454545453,0.5128205128205128,22
7,Hay-windrowed,0.9291139240506329,0.9607329842931938,0.9446589446589446,382
8,Oats,1.0,0.4375,0.6086956521739131,16
9,Soybean-notill,0.6224390243902439,0.8200514138817481,0.7077093732667776,778
10,Soybean-mintill,0.8185483870967742,0.8264631043256997,0.8224867054950621,1965
11,Soybean-clean,0.7485549132947977,0.5452631578947369,0.630937880633374,475
12,Wheat,0.8606060606060606,0.8658536585365854,0.8632218844984803,164
13,Woods,0.8676081200353045,0.9713438735177866,0.9165501165501165,1012
14,Buildings-Grass-Trees-Drives,0.916256157635468,0.6038961038961039,0.7279843444227005,308
15,Stone-Steel-Towers,0.9135802469135802,0.9866666666666667,0.9487179487179487,75
