run_id,epoch,train_loss,train_accuracy,validation_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1,validation_Weighted-F1
A000,1,2.0238283835351467,0.3623046875,1.4879533581617401,0.5141463414634146,0.2604843399425102,0.4105862383520201,0.2154573341324182,0.39481328203058724
A000,2,1.3245483860373497,0.53125,0.9827477499333823,0.6165853658536585,0.32356731489067214,0.545144025022301,0.2825582695586924,0.5201964616368443
A000,3,0.8886630535125732,0.6796875,0.7130700873165596,0.7404878048780488,0.4501669963961678,0.6962506196977546,0.4443318377453546,0.6924868665859969
A000,4,0.6534697460010648,0.7861328125,0.45578059469781274,0.8439024390243902,0.5502325363917854,0.821434404363969,0.5270968666719709,0.8185745719100059
A000,5,0.44619113206863403,0.8525390625,0.3766572683395409,0.8809756097560976,0.6566445093350972,0.8631412824116027,0.659466457997925,0.8704100386671161
A000,6,0.3521006484515965,0.8916015625,0.2643839927417476,0.9121951219512195,0.6837154726931433,0.8998948488981923,0.6728150243005118,0.9051517600609857
A000,7,0.300249389372766,0.912109375,0.24508530156641473,0.9287804878048781,0.7556434281001174,0.9186527393343494,0.7516653949997243,0.9242175499070163
A000,8,0.19998842664062977,0.9365234375,0.23047011180076657,0.9297560975609757,0.7643930151941161,0.9202136285501151,0.7587462091665086,0.9279346053283806
A000,9,0.16048731881892309,0.9501953125,0.13485653386246868,0.96,0.7890051134212959,0.9543998081590978,0.780745770348115,0.955718332259907
A000,10,0.13551316154189408,0.9619140625,0.17565895762374034,0.9453658536585365,0.7735352205047835,0.9378249566724437,0.7708800151540128,0.9415684212433082
A000,11,0.11354648158885539,0.9609375,0.15276930420773058,0.9482926829268292,0.7848329459965094,0.9410683097751212,0.7910853834776863,0.9458121974677606
A000,12,0.10193896980490535,0.9697265625,0.1270055678123381,0.9580487804878048,0.8155247591559064,0.9520860895835213,0.8212553733894405,0.9549985802670428
A000,13,0.07217607492930256,0.9814453125,0.11125673702849848,0.9590243902439024,0.8168242497105328,0.9532567199572632,0.8223544745918845,0.9563204949084709
A000,14,0.07559612617478706,0.97265625,0.22494254436349587,0.9258536585365854,0.805457630038938,0.9159942975333165,0.8075713664629066,0.926802433018031
A000,15,0.1484737976861652,0.9580078125,0.2510763585549302,0.9307317073170732,0.7992929769846303,0.9205590286533295,0.8121440484902422,0.9263838720302839
A000,16,0.07882339982461417,0.978515625,0.12433275724102448,0.9580487804878048,0.7869810519258411,0.9522422054294897,0.7808818225124654,0.9540914355973035
A000,17,0.04570746027457062,0.98828125,0.09337628472289752,0.9609756097560975,0.8228839059508316,0.9555768401481349,0.8220117242827925,0.9584194309099678
A000,18,0.07038550960714929,0.9794921875,0.13401613986380853,0.953170731707317,0.8121126026516021,0.9464824153399672,0.8096497220786143,0.9504737753181438
A000,19,0.03473227779613808,0.9873046875,0.09145794832397525,0.9707317073170731,0.840992722093908,0.9666218368084615,0.8424195694973877,0.9683335749449435
A000,20,0.034105383572750725,0.9892578125,0.0808000631676135,0.9795121951219512,0.9073923639664649,0.9766229281017926,0.9129915169157434,0.9784316682645816
A000,21,0.029104406752594514,0.9892578125,0.0898821288391255,0.9736585365853658,0.8705965910366238,0.9699685524353958,0.8842342504462357,0.9723308138589607
A000,22,0.024966426328319358,0.9931640625,0.07163129190042637,0.975609756097561,0.8923170155662994,0.9721925911296265,0.8986210266939365,0.9743784816397858
A000,23,0.030061920990192448,0.990234375,0.07882971405162385,0.9726829268292683,0.8483745630187435,0.9688609058980916,0.8600745483432197,0.9711122006333598
A000,24,0.04433243480161764,0.982421875,0.10482549981486688,0.9707317073170731,0.8848025519396175,0.9665883984053701,0.8941396038602507,0.9692376381574026
A000,25,0.032568721944699064,0.9912109375,0.12096782608312645,0.9668292682926829,0.884716631834392,0.9621405113909804,0.8870943405447669,0.9654124394708832
A000,26,0.025961921503039775,0.9921875,0.08957355241277028,0.9707317073170731,0.8837047045681471,0.9666295522174255,0.8909836549995228,0.9696184209677553
A000,27,0.01669744390528649,0.994140625,0.07564881698288756,0.9717073170731707,0.890568854751314,0.9677548828707646,0.8955712748076119,0.9704612904820467
A000,28,0.01760068122530356,0.99609375,0.08338913501620793,0.9717073170731707,0.8896305556100825,0.9677446307967429,0.8944228572780692,0.9704478880116325
A000,29,0.00935433988161094,0.9970703125,0.08150783114268717,0.9707317073170731,0.8880857109773141,0.9666314352497922,0.8935285402021305,0.9693700317305826
A000,30,0.012209421900479356,0.9970703125,0.08144550959417801,0.9717073170731707,0.8896305556100825,0.9677440007639436,0.8949574756133205,0.9704008476793189
A001,1,2.1402064599096775,0.3515625,1.3735569800400151,0.5297560975609756,0.2711193894168454,0.4331214064509763,0.21408338363783527,0.4067583078189124
A001,2,1.2305306289345026,0.5732421875,0.9761412968286654,0.6224390243902439,0.3501563775916248,0.553817981807404,0.3177437288557329,0.5373931386051197
A001,3,0.9573017116636038,0.6611328125,0.7978101739650819,0.7395121951219512,0.5040641852594416,0.705131313131313,0.48296502692394966,0.7224519294315772
A001,4,0.6145641319453716,0.8037109375,0.4764762286151328,0.855609756097561,0.6073095017003913,0.8354174667959893,0.5843441296497084,0.8427848165415941
A001,5,0.3845006902702153,0.8740234375,0.3695305373029011,0.855609756097561,0.6085968105800719,0.8349305282767161,0.5957065595844061,0.8418974095241
A001,6,0.33263819525018334,0.89453125,0.39862754198836114,0.8517073170731707,0.6472754831605572,0.8317182025170982,0.6430469759572437,0.8455640529297056
A001,7,0.2791059832088649,0.9091796875,0.26073926826802696,0.9239024390243903,0.7279023792884689,0.9128898980610239,0.7377916768935737,0.918243408209326
A001,8,0.19218295998871326,0.94140625,0.1854648832213588,0.9463414634146341,0.7762595448222718,0.9389152430712819,0.764899885037476,0.9425207069517925
A001,9,0.15080046089133248,0.9560546875,0.18126194160159043,0.9482926829268292,0.7861441914483701,0.941194999870104,0.7685239404561247,0.9444199817600459
A001,10,0.10573949970421381,0.970703125,0.17284083426078192,0.9463414634146341,0.7801446761922289,0.9388320640421508,0.786636410074725,0.9433267755016268
A001,11,0.1057373512594495,0.962890625,0.21297221448999354,0.9434146341463414,0.7900700164327803,0.9353067407220399,0.8049202059068028,0.9403578577760902
A001,12,0.1381121466110926,0.95703125,0.20991582584726373,0.9434146341463414,0.7656141244526086,0.9353451557262767,0.7585874981201318,0.9394037352467571
A001,13,0.1021311821823474,0.9697265625,0.17905199876009692,0.9502439024390243,0.8394167475197688,0.9432724549923495,0.818464839547473,0.9484983270139103
A001,14,0.07055543181922985,0.9794921875,0.19540159398678508,0.9473170731707317,0.8427146559156626,0.9400511433606236,0.8220228522175864,0.9461440470205826
A001,15,0.07032325402542483,0.98046875,0.22236541574366572,0.944390243902439,0.8351428609942668,0.9365474653196737,0.8218186682421493,0.941494544651782
A001,16,0.06913758038717788,0.9794921875,0.22343019551966659,0.9278048780487805,0.8013539531518064,0.9180519152191152,0.7978393869322526,0.9259328525724844
A001,17,0.04762452431896236,0.98828125,0.11795270175991081,0.9648780487804878,0.8289333534566604,0.9598625537205455,0.8323388061115604,0.9623921685172928
A001,18,0.09252614332581288,0.9765625,0.19235054546365196,0.9502439024390243,0.8135886284930129,0.9431130621767974,0.8161468667658232,0.9465963578861601
A001,19,0.08614637570281047,0.970703125,0.15188083510471098,0.9541463414634146,0.8033215263179535,0.9477528010680445,0.7943923948497214,0.95116893090587
A001,20,0.11986172174511012,0.958984375,0.14978012439192886,0.9580487804878048,0.8179731255719396,0.9521655987358477,0.8223152495758825,0.9553234612036609
A001,21,0.10963982201064937,0.97265625,0.155951932584299,0.9463414634146341,0.8260741072013151,0.9388980955715074,0.8239616952062436,0.9438800050484557
A001,22,0.039058227819623426,0.98828125,0.12148882027175958,0.9678048780487805,0.8865959003163333,0.963217423360117,0.8997662026974491,0.9666627478381822
A001,23,0.04401356297603343,0.9873046875,0.10826786190839258,0.9658536585365853,0.8407250807154361,0.9610567382969393,0.8529876607264054,0.9641152000737895
A001,24,0.027419072092015995,0.990234375,0.1541811398938355,0.96,0.8747083417687824,0.9544891412877976,0.875284021298928,0.9588774206248255
A001,25,0.03423923572700005,0.98828125,0.2147814333638057,0.9560975609756097,0.8520054274296227,0.949970063387523,0.8661099886886866,0.9552668795860233
A001,26,0.03676624906984216,0.990234375,0.10678995073278912,0.968780487804878,0.8356939648470738,0.9643678885149448,0.8537723955041187,0.9669882079470489
A001,27,0.035271143535283045,0.9921875,0.1017656398621649,0.9726829268292683,0.8637620207893315,0.9688562090084771,0.8770811050690378,0.971162952774959
A001,28,0.01638176506094169,0.9951171875,0.10000225396400954,0.9717073170731707,0.8420038561204268,0.9677217938972744,0.8450319398835582,0.9693323099909181
A001,29,0.013582179153445395,0.9970703125,0.11336170111726061,0.9619512195121951,0.8347385234718647,0.9566194065079029,0.8336322720173079,0.9597274334540818
A001,30,0.012723145720883622,0.9951171875,0.10548311074616433,0.968780487804878,0.8614373911561025,0.9644110737981956,0.8730729421126543,0.9674394863527433
A001,31,0.018219746364593448,0.9951171875,0.08945529244509355,0.9746341463414634,0.9341456613976622,0.9710616414184465,0.9488604822040081,0.974393116717568
A001,32,0.009959961730601208,0.9970703125,0.0727983326098893,0.975609756097561,0.8960181343421016,0.9721713614258688,0.9221099640682415,0.974897401463963
A001,33,0.007372713273525733,0.9990234375,0.07118370921370891,0.9765853658536585,0.9099193639723717,0.9732910332787211,0.9351646505343255,0.9762247362302326
A001,34,0.005195689860101993,1.0,0.07584111981695836,0.9775609756097561,0.8970262484311107,0.9743959285453629,0.9226728139667523,0.9768872875121186
A001,35,0.0059857579617528245,0.9970703125,0.06977892874909009,0.9785365853658536,0.9375727926606906,0.975514866439297,0.9542588817508433,0.9783050625080189
A001,36,0.01236731320113904,0.99609375,0.07868802447158775,0.9765853658536585,0.9300093243829366,0.9733005124999186,0.9463941513405708,0.9763460573676187
A001,37,0.00901490948490391,0.9990234375,0.08037236576755787,0.9765853658536585,0.8970870955014242,0.9732996431269374,0.9209939730824038,0.9759529109474756
A001,38,0.02059327325787308,0.9921875,0.08116780276864585,0.9717073170731707,0.8625563231320436,0.9677506848571971,0.8726112101430922,0.9703292604910102
A001,39,0.004886133079253341,1.0,0.08316058903452714,0.9765853658536585,0.8952159591513997,0.9732988316610731,0.9176497675960658,0.9759061251555855
A001,40,0.0034018592664324387,1.0,0.08448160508313222,0.9775609756097561,0.8957773711779216,0.9743998766416113,0.9215953466489065,0.9768501218185238
A001,41,0.005754835455718421,0.9990234375,0.08335133041132373,0.9775609756097561,0.8956691472439386,0.974387694794754,0.9221421347840931,0.9768692150915684
A001,42,0.006683658147267124,0.998046875,0.08661734747090633,0.9795121951219512,0.9362888326180883,0.9766113706225776,0.9541587724263734,0.9792392656273664
A001,43,0.0096373891381063,0.998046875,0.07675008347415914,0.9785365853658536,0.8981588492099701,0.975517657685827,0.923437603785243,0.9778598542928402
A001,44,0.0063615889212087495,0.9990234375,0.07422825425052618,0.9785365853658536,0.8988387201135931,0.9755325335925836,0.9234278419296329,0.9778992499942191
A001,45,0.004669215182047992,0.9990234375,0.07191554126999818,0.9775609756097561,0.89090809477982,0.974406880125409,0.9188891416379517,0.976866699381583
A002,1,2.0454537458717823,0.3662109375,1.5180779692021813,0.42634146341463414,0.16599855623828225,0.29435153399804237,0.12253805984998994,0.29476525084470473
A002,2,1.4595323130488396,0.4736328125,1.2209302876635295,0.5346341463414634,0.27471869648208935,0.4412496442991293,0.2183807129296352,0.40979722056503837
A002,3,1.1222344655543566,0.5791015625,0.8878042957259388,0.6409756097560976,0.3615852507862928,0.5749183813991856,0.3387658542808871,0.5645521699609475
A002,4,0.819531200453639,0.7177734375,0.7662937475413811,0.7317073170731707,0.4773559909079578,0.6861719716360697,0.48585006594577024,0.6978626662096148
