dataset,model,shot,seed,epoch,residual_scale,residual_warmup_factor,high_confidence_guard_mode,guard_floor,guard_tau,guard_temperature,train_loss,train_ce_loss,train_supcon_loss,train_gate_confidence_penalty,train_mean_guard,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_confguard_gated_supcon,10,1,1,1.0,1.0,none,0.05,0.35,0.08,2.740019345283508,2.6149407386779786,0.5841042965650558,0.08257779702544213,1.0,0.225,2.280276334285736,0.3625,0.36250000000000004,0.31999999999999995,0.28226574150487194,0.28226574150487194
salinas,spectral_qnn_confguard_gated_supcon,10,1,2,1.0,1.0,none,0.05,0.35,0.08,2.1737590193748475,2.046537387371063,0.5890197634696961,0.09417705908417702,1.0,0.43125,1.7917461752891541,0.525,0.5249999999999999,0.4933333333333333,0.46373182444154304,0.46373182444154304
salinas,spectral_qnn_confguard_gated_supcon,10,1,3,1.0,1.0,none,0.05,0.35,0.08,1.6857369542121887,1.57800452709198,0.4791305050253868,0.11906339302659034,1.0,0.69375,1.376920574903488,0.76875,0.76875,0.7533333333333333,0.703106671730477,0.7031066717304771
salinas,spectral_qnn_confguard_gated_supcon,10,1,4,1.0,1.0,none,0.05,0.35,0.08,1.2761870622634888,1.184803557395935,0.37651857286691665,0.16079792082309724,1.0,0.80625,1.0337858378887177,0.825,0.825,0.8133333333333334,0.7857433744196245,0.7857433744196245
salinas,spectral_qnn_confguard_gated_supcon,10,1,5,1.0,1.0,none,0.05,0.35,0.08,0.9906722009181976,0.8784933149814605,0.45545264184474943,0.21088375747203827,1.0,0.86875,0.7784911811351776,0.8625,0.8625,0.8533333333333333,0.8288239538239539,0.8288239538239537
salinas,spectral_qnn_confguard_gated_supcon,10,1,6,1.0,1.0,none,0.05,0.35,0.08,0.7767290949821473,0.6527030408382416,0.48869633972644805,0.2628677561879158,1.0,0.925,0.5891942471265793,0.90625,0.90625,0.9,0.8852521929824562,0.8852521929824562
salinas,spectral_qnn_confguard_gated_supcon,10,1,7,1.0,1.0,none,0.05,0.35,0.08,0.6277122974395752,0.4933996915817261,0.5172153890132904,0.3086951434612274,1.0,0.96875,0.45881795287132265,0.95625,0.95625,0.9533333333333334,0.9525255446308079,0.9525255446308079
salinas,spectral_qnn_confguard_gated_supcon,10,1,8,1.0,1.0,none,0.05,0.35,0.08,0.49943317472934723,0.37667844295501707,0.43948621973395346,0.3485749363899231,1.0,0.975,0.3716693460941315,0.9375,0.9375,0.9333333333333333,0.9232014204790975,0.9232014204790975
salinas,spectral_qnn_confguard_gated_supcon,10,1,9,1.0,1.0,none,0.05,0.35,0.08,0.43073345720767975,0.3000735893845558,0.46426624730229377,0.3780661582946777,1.0,0.98125,0.31085739135742185,0.9625,0.9625,0.96,0.9604010025062657,0.9604010025062657
salinas,spectral_qnn_confguard_gated_supcon,10,1,10,1.0,1.0,none,0.05,0.35,0.08,0.3597672700881958,0.24605864733457566,0.3701240345835686,0.3968381851911545,1.0,0.99375,0.26670511811971664,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
salinas,spectral_qnn_confguard_gated_supcon,10,1,11,1.0,1.0,none,0.05,0.35,0.08,0.3313117191195488,0.2076040416955948,0.41429284065961836,0.4084910362958908,1.0,1.0,0.23360622748732568,0.99375,0.99375,0.9933333333333333,0.993734335839599,0.9937343358395989
