dataset,shot,qnn_label,true_class_id,true_class_name,pred_class_id,pred_class_name,baseline_count_mean,qnn_count_mean,delta_count_mean,delta_count_sum,increased_seeds,decreased_seeds
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,13,Woods,10.25,15.75,5.5,22,3,1
indian_pines,5,Spectral QNN + SupCon,13,Woods,7,Hay-windrowed,22.0,27.5,5.5,22,2,2
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,5,Grass-trees,21.6,27.0,5.4,27,2,2
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,14,Buildings-Grass-Trees-Drives,7.0,12.0,5.0,5,1,0
indian_pines,5,Spectral QNN + SupCon,13,Woods,12,Wheat,4.0,9.0,5.0,10,1,1
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,3,Corn,10.25,14.5,4.25,17,4,0
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,12,Wheat,2.5,6.5,4.0,8,1,1
indian_pines,5,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,12,Wheat,0.0,4.0,4.0,4,1,0
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,8,Oats,2.6666666666666665,6.333333333333333,3.6666666666666665,11,2,1
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,6,Grass-pasture-mowed,1.0,4.0,3.0,3,1,0
indian_pines,5,Spectral QNN + SupCon,4,Grass-pasture,14,Buildings-Grass-Trees-Drives,7.0,10.0,3.0,6,2,0
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,15,Stone-Steel-Towers,0.5,3.0,2.5,5,1,1
indian_pines,5,Spectral QNN + SupCon,11,Soybean-clean,2,Corn-mintill,55.6,58.0,2.4,12,2,3
indian_pines,5,Spectral QNN + SupCon,8,Oats,1,Corn-notill,0.0,2.0,2.0,2,1,0
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,6,Grass-pasture-mowed,1.0,3.0,2.0,2,1,0
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,15,Stone-Steel-Towers,0.0,2.0,2.0,2,1,0
indian_pines,5,Spectral QNN + SupCon,13,Woods,15,Stone-Steel-Towers,1.5,3.5,2.0,4,1,1
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,10,Soybean-mintill,31.0,32.75,1.75,7,3,1
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,13,Woods,4.0,5.75,1.75,7,2,2
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,3,Corn,36.5,37.75,1.25,5,3,1
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,4,Grass-pasture,0.0,1.0,1.0,1,1,0
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,3,Corn,2.3333333333333335,3.0,0.6666666666666666,2,2,1
indian_pines,5,Spectral QNN + SupCon,13,Woods,11,Soybean-clean,5.0,5.666666666666667,0.6666666666666666,2,1,2
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,5,Grass-trees,2.0,2.0,0.0,0,0,0
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,1,Corn-notill,17.25,17.25,0.0,0,2,2
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,2,Corn-mintill,2.0,2.0,0.0,0,0,0
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,7,Hay-windrowed,1.6666666666666667,1.6666666666666667,0.0,0,2,1
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,4,Grass-pasture,15.0,15.0,0.0,0,1,1
indian_pines,5,Spectral QNN + SupCon,12,Wheat,2,Corn-mintill,1.0,1.0,0.0,0,0,0
indian_pines,5,Spectral QNN + SupCon,13,Woods,3,Corn,8.5,8.5,0.0,0,1,1
indian_pines,5,Spectral QNN + SupCon,11,Soybean-clean,5,Grass-trees,4.6,4.4,-0.2,-1,2,3
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,3,Corn,1.0,0.6666666666666666,-0.3333333333333333,-1,1,1
indian_pines,5,Spectral QNN + SupCon,4,Grass-pasture,8,Oats,6.0,5.5,-0.5,-1,1,1
indian_pines,5,Spectral QNN + SupCon,4,Grass-pasture,2,Corn-mintill,18.0,17.333333333333332,-0.6666666666666666,-2,0,1
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,5,Grass-trees,3.6666666666666665,3.0,-0.6666666666666666,-2,1,2
indian_pines,5,Spectral QNN + SupCon,0,Alfalfa,6,Grass-pasture-mowed,1.0,0.0,-1.0,-1,0,1
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,8,Oats,36.2,35.2,-1.0,-5,3,2
indian_pines,5,Spectral QNN + SupCon,11,Soybean-clean,8,Oats,5.666666666666667,4.333333333333333,-1.3333333333333333,-4,0,2
indian_pines,5,Spectral QNN + SupCon,4,Grass-pasture,6,Grass-pasture-mowed,47.8,46.4,-1.4,-7,0,2
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,2,Corn-mintill,54.8,53.4,-1.4,-7,2,2
indian_pines,5,Spectral QNN + SupCon,3,Corn,5,Grass-trees,3.0,1.5,-1.5,-3,1,1
indian_pines,5,Spectral QNN + SupCon,4,Grass-pasture,11,Soybean-clean,13.333333333333334,11.333333333333334,-2.0,-6,0,2
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,6,Grass-pasture-mowed,2.0,0.0,-2.0,-2,0,1
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,10,Soybean-mintill,136.6,134.4,-2.2,-11,3,2
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,11,Soybean-clean,2.5,0.0,-2.5,-5,0,2
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,14,Buildings-Grass-Trees-Drives,91.25,88.5,-2.75,-11,2,2
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,4,Grass-pasture,4.0,1.0,-3.0,-3,0,1
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,3,Corn,15.0,12.0,-3.0,-12,2,2
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,11,Soybean-clean,35.0,31.8,-3.2,-16,2,3
indian_pines,5,Spectral QNN + SupCon,13,Woods,5,Grass-trees,6.333333333333333,3.0,-3.3333333333333335,-10,0,2
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,8,Oats,59.0,55.6,-3.4,-17,1,4
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,4,Grass-pasture,6.333333333333333,2.6666666666666665,-3.6666666666666665,-11,0,3
indian_pines,5,Spectral QNN + SupCon,13,Woods,1,Corn-notill,4.0,0.0,-4.0,-8,0,2
indian_pines,5,Spectral QNN + SupCon,15,Stone-Steel-Towers,11,Soybean-clean,4.0,0.0,-4.0,-4,0,1
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,0,Alfalfa,24.8,20.4,-4.4,-22,2,3
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,10,Soybean-mintill,35.2,30.8,-4.4,-22,3,2
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,6,Grass-pasture-mowed,4.5,0.0,-4.5,-9,0,2
indian_pines,5,Spectral QNN + SupCon,3,Corn,14,Buildings-Grass-Trees-Drives,5.0,0.0,-5.0,-5,0,1
indian_pines,5,Spectral QNN + SupCon,7,Hay-windrowed,4,Grass-pasture,6.0,1.0,-5.0,-5,0,1
indian_pines,5,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,2,Corn-mintill,6.0,0.5,-5.5,-11,0,2
indian_pines,5,Spectral QNN + SupCon,3,Corn,11,Soybean-clean,31.0,25.0,-6.0,-12,0,1
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,0,Alfalfa,90.4,84.0,-6.4,-32,0,4
indian_pines,5,Spectral QNN + SupCon,5,Grass-trees,10,Soybean-mintill,22.4,16.0,-6.4,-32,1,3
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,13,Woods,8.5,2.0,-6.5,-13,0,2
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,11,Soybean-clean,188.0,181.5,-6.5,-13,1,1
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,4,Grass-pasture,37.5,30.75,-6.75,-27,2,2
indian_pines,5,Spectral QNN + SupCon,13,Woods,4,Grass-pasture,67.8,60.0,-7.8,-39,2,3
indian_pines,5,Spectral QNN + SupCon,1,Corn-notill,2,Corn-mintill,89.2,80.8,-8.4,-42,2,3
indian_pines,5,Spectral QNN + SupCon,14,Buildings-Grass-Trees-Drives,11,Soybean-clean,18.666666666666668,10.0,-8.666666666666666,-26,1,2
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,1,Corn-notill,14.5,5.5,-9.0,-18,0,1
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,2,Corn-mintill,138.2,129.2,-9.0,-45,1,4
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,14,Buildings-Grass-Trees-Drives,67.2,57.0,-10.2,-51,3,2
indian_pines,5,Spectral QNN + SupCon,11,Soybean-clean,9,Soybean-notill,15.0,2.0,-13.0,-13,0,1
indian_pines,5,Spectral QNN + SupCon,11,Soybean-clean,10,Soybean-mintill,22.0,9.0,-13.0,-13,0,1
indian_pines,5,Spectral QNN + SupCon,13,Woods,6,Grass-pasture-mowed,14.0,0.0,-14.0,-14,0,1
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,1,Corn-notill,72.2,55.6,-16.6,-83,0,5
indian_pines,5,Spectral QNN + SupCon,4,Grass-pasture,12,Wheat,44.0,26.2,-17.8,-89,0,5
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,12,Wheat,82.4,63.0,-19.4,-97,1,4
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,1,Corn-notill,115.4,93.6,-21.8,-109,1,3
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,14,Buildings-Grass-Trees-Drives,42.5,12.75,-29.75,-119,2,2
indian_pines,5,Spectral QNN + SupCon,13,Woods,2,Corn-mintill,77.0,45.5,-31.5,-63,0,2
indian_pines,5,Spectral QNN + SupCon,10,Soybean-mintill,0,Alfalfa,50.0,18.0,-32.0,-32,0,1
indian_pines,5,Spectral QNN + SupCon,9,Soybean-notill,12,Wheat,84.5,49.5,-35.0,-70,0,2
indian_pines,5,Spectral QNN + SupCon,2,Corn-mintill,12,Wheat,179.0,135.6,-43.4,-217,0,4
