epoch,train_loss,validation_OA,validation_AA,validation_Kappa,validation_Macro-F1
1,1.350892689522388,0.7570727145195231,0.626407598772859,0.6676095037378385,0.6104294139143007
2,0.5616921857051658,0.8127191956979191,0.679086977429547,0.7485278330446732,0.656226739497823
3,0.4151741375857936,0.8800561140986672,0.7601843791799473,0.8396832831118424,0.7603532012212619
4,0.29342434960658065,0.9097498246434417,0.7940719592680152,0.8792508047096312,0.8024927559683745
5,0.20568489550025157,0.9452887537993921,0.8766541753325863,0.9269559299945612,0.898067852653612
6,0.13161595058421652,0.9420154313771335,0.9239264768962538,0.9232225652822379,0.9143343061222446
7,0.11850903187402644,0.9698386719663316,0.9557171648202094,0.9600439931543674,0.9532173340561274
8,0.0783531099300059,0.9796586392331074,0.9693841731725826,0.973002457646358,0.9676911640621577
9,0.06611837897434925,0.9731119943885901,0.9473308985080998,0.9641948464834615,0.9611018512270585
10,0.07366083450972519,0.9733458031330372,0.9455681304997908,0.9646317521238409,0.9517907365266112
11,0.04970651317578569,0.9892447977554361,0.9799278679328479,0.9857525621628135,0.9828450466139859
12,0.034924376218542476,0.9922843114332476,0.9853385889701392,0.9897721845246001,0.9870097844220693
13,0.029560668811181145,0.9883095627776479,0.9829860482800059,0.9845179878032005,0.9782751986026119
14,0.022577393251069035,0.9925181201776947,0.9868252934224182,0.9900879909518444,0.9851965649765826
15,0.03737365088264658,0.9904138414776713,0.9860528021349447,0.9872887514326314,0.9845096298403663
