dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,encoder_feature_dim,spectral_dim,train_size,validation_size,test_size
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,0,0.7314445331205107,0.8330113591543933,0.6999606045942242,0.6638491280381735,0.7467995562418273,20,14.117959976196289,17.93556308746338,2100,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,1,0.7150837988826816,0.8212099924307483,0.681596176041404,0.6310335207087306,0.7152269835400211,11,10.263728141784668,18.68458890914917,2100,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,2,0.6998204309656824,0.8146259055484919,0.6623935010061468,0.6158257646642564,0.6954387137720252,31,19.847974061965942,18.31280493736267,2100,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,3,0.7121907422186752,0.8290138859807066,0.6786233301879006,0.6494148344241496,0.7354810602309846,24,16.271201848983765,17.99090600013733,2100,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,5,4,0.7413208300079809,0.8253816908400016,0.7084989059049551,0.6421871646206652,0.7467631301856335,18,13.244252920150757,18.31045389175415,2100,32,30,80,145,10024
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,0,0.7801347139841158,0.8687745387367222,0.7536356877212276,0.6927495346529606,0.7911262199822096,10,13.169828176498413,17.42609405517578,2100,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,1,0.7864682818940384,0.8782988025331162,0.7601484513302341,0.7007751486735402,0.7912304719086455,18,17.40015411376953,16.616854190826416,2100,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,2,0.8442746556750779,0.9044090069528037,0.8239252550688659,0.7449545207132663,0.854830018544624,16,15.575854063034058,16.32887101173401,2100,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,3,0.8073791092791797,0.8978687373324693,0.7834672005182848,0.7248547705752695,0.8131671422897682,14,14.898653984069824,16.643430948257446,2100,32,30,160,142,9947
indian_pines,hybridsn_small_spectral_qnn_gated_fusion,10,4,0.8261787473610134,0.8949663081506306,0.8034040109079092,0.727322151910829,0.8307416549078015,8,11.180268049240112,16.918033838272095,2100,32,30,160,142,9947
