run_id,epoch,train_loss,train_accuracy,validation_loss,validation_OA,validation_AA,validation_Macro-F1
linear_probe,1,0.22344279558857597,0.9563291139240506,3.0956797926348507,0.4898958971218616,0.175705329153605,0.10796601809070835
linear_probe,2,0.023859406606871872,0.9974683544303797,3.7213838245404287,0.48928352725045926,0.17607758620689656,0.10746702050799951
linear_probe,3,0.015242934596571552,0.9981012658227848,3.9072859040495698,0.48928352725045926,0.17616510815402442,0.10894814181327954
linear_probe,4,0.01124122823364561,0.9974683544303797,4.215066166396726,0.4935701163502756,0.17642438636896765,0.10921715296715295
linear_probe,5,0.008702882325801338,0.9987341772151899,4.473000883849353,0.49173300673606857,0.1760867382480683,0.10858623292398557
linear_probe,6,0.007177427741757865,0.9987341772151899,4.592406579180032,0.4941824862216779,0.17656610972497672,0.10922171317025942
linear_probe,7,0.006956075495285796,0.9987341772151899,4.713905080626374,0.4966319657072872,0.17713300314901298,0.11002873729584678
linear_probe,8,0.0056075441515474,0.9993670886075949,5.139253102637497,0.4923453766074709,0.17618470063051345,0.10842837282032394
linear_probe,9,0.005640064499818401,0.9974683544303797,5.2338262807653555,0.4941824862216779,0.17656610972497672,0.10906931503756981
linear_probe,10,0.004906122602708048,0.9987341772151899,5.532929065171843,0.4911206368646663,0.17594501489205921,0.10905701424782221
mlp_h64,1,0.26854404108952495,0.9493670886075949,4.156165916061905,0.47948560930802203,0.1741712515727294,0.10580698657154966
mlp_h64,2,0.021949762540362492,0.9949367088607595,4.545277153595268,0.5437844458052664,0.18788180894092224,0.13103238690907681
mlp_h64,3,0.01435640171741996,0.9968354430379747,4.667142354245322,0.5505205143906919,0.1900422682134505,0.1350146325556653
mlp_h64,4,0.015187689595335587,0.9949367088607595,5.352566671800607,0.51316595223515,0.18165970933828077,0.12062129026343182
mlp_h64,5,0.009825433108898888,0.9981012658227848,6.347189625432927,0.4507042253521127,0.16943573667711598,0.10360834764015259
mlp_h64,6,0.01240610584406303,0.9962025316455696,5.788438213905995,0.5266380894060012,0.18466779867641936,0.12899343145995656
mlp_h64,7,0.012473321768703511,0.9936708860759493,5.752490753180847,0.5658297611757501,0.19109182074083553,0.14158658604149865
mlp_h64,8,0.008791338951405008,0.9962025316455696,6.127669593228019,0.5321494182486222,0.1845764115468549,0.1275412540620604
mlp_h64,9,0.022038370930390613,0.9943037974683544,6.513943709881932,0.5223515003061849,0.1808544185699358,0.13014690893928896
mlp_h64,10,0.007680944479888458,0.9962025316455696,6.4315855920423095,0.5303123086344151,0.18300314901300124,0.12559719415927711
residual_qnn_q4_l1_linear,1,0.3233676812222487,0.9462025316455697,2.660216248709428,0.4935701163502756,0.1774961081611328,0.11027923277275392
residual_qnn_q4_l1_linear,2,0.04163332187299487,0.9974683544303797,2.9527952918282097,0.4874464176362523,0.1762539184952978,0.10658714965055335
residual_qnn_q4_l1_linear,3,0.025941796191744033,0.9987341772151899,3.4216897873255263,0.488671157379057,0.1783307210031348,0.11017967354382585
residual_qnn_q4_l1_linear,4,0.020529642388743313,0.9987341772151899,3.3532106839439764,0.484996938150643,0.17505291301473566,0.10606803374425113
residual_qnn_q4_l1_linear,5,0.015527024362943596,0.9981012658227848,3.401146701976927,0.5229638701775873,0.18353343427235053,0.12175074732618285
residual_qnn_q4_l1_linear,6,0.012043657497491074,0.9987341772151899,3.603851008677937,0.5009185548071035,0.17851891540315185,0.11304238397274721
residual_qnn_q4_l1_linear,7,0.010436856268633958,0.9987341772151899,3.6515660887859696,0.5119412124923454,0.18111369678487904,0.11791542889428289
residual_qnn_q4_l1_linear,8,0.010011286822536701,0.9987341772151899,3.826255562416174,0.49785670545009186,0.1791008252830913,0.11512866991505388
residual_qnn_q4_l1_linear,9,0.00843477501368881,0.9987341772151899,3.945990434964615,0.49785670545009186,0.17794158154379827,0.11249203611971006
gated_residual_qnn_q4_l1_linear,1,0.29204876838794236,0.9632911392405064,2.768819455717806,0.48622167789344767,0.17605799373040754,0.1069873834480498
gated_residual_qnn_q4_l1_linear,2,0.03806531866894493,0.9962025316455696,3.0327189354538526,0.4825474586650337,0.17547021943573668,0.10660276243954164
gated_residual_qnn_q4_l1_linear,3,0.023012450474161138,0.9968354430379747,3.304124629211544,0.484996938150643,0.17612463480690083,0.10920409785489982
gated_residual_qnn_q4_l1_linear,4,0.017430930664833588,0.9968354430379747,3.530414567009043,0.49540722596448256,0.17774623433490427,0.10937059744201588
gated_residual_qnn_q4_l1_linear,5,0.0122916287041116,0.9987341772151899,3.632303474023134,0.48377219840783836,0.17592871004201055,0.11095699060617187
gated_residual_qnn_q4_l1_linear,6,0.010516009113715984,0.9987341772151899,3.7273050337383697,0.488671157379057,0.17666864812800773,0.10987815388868752
gated_residual_qnn_q4_l1_linear,7,0.011048746943662438,0.9987341772151899,3.9059169801623335,0.48928352725045926,0.17672284953688894,0.10855301257467066
gated_residual_qnn_q4_l1_linear,8,0.010195500353687218,0.9974683544303797,3.972379485702265,0.5076546233925291,0.18023061366657425,0.1125372800994167
gated_residual_qnn_q4_l1_linear,9,0.009316553953516332,0.9987341772151899,4.0934892784855,0.5045927740355175,0.17947823591296497,0.11187844497625996
gated_residual_qnn_q4_l1_linear,10,0.00816599991882833,0.9987341772151899,4.1445632001667185,0.4984690753214942,0.1773831293227845,0.11049588577460315
