dataset,shot,seed,delta_oa,delta_macro_f1,delta_weighted_f1
pavia_university,10,0,0.008639308855291628,0.013947817333897383,0.00889077999490151
pavia_university,10,1,0.10850784111184153,0.22138558903250216,0.12289429365371018
pavia_university,10,2,0.06521739130434778,0.06791199540671189,0.05540039573744271
pavia_university,10,3,0.01993144896234389,0.03770866524526817,0.022034268864253637
pavia_university,10,4,0.0,0.005075380221444825,-0.0029934343978982314
salinas,10,0,-0.06318645579735738,-0.01568195263067418,-0.08307276354262061
salinas,10,1,-0.026036536638852192,-0.007955488833590985,-0.02558464033630825
salinas,10,2,-0.019271869018194,-0.008529637665999124,-0.02046511200563972
salinas,10,3,0.007377947926926587,0.005761050908213217,0.0074832881782116445
salinas,10,4,-0.04581018045308405,0.001091712840985637,-0.04812394755170546
