seed,epoch,train_loss,train_accuracy,validation_loss,validation_OA,validation_AA,validation_Macro-F1,validation_Weighted-F1
0,1,0.98956852344018,0.75,3.7205094961616036,0.48377219840783836,0.17913827033571564,0.12238826475361098,0.40685892189576905
0,2,0.18143568840585178,0.9607594936708861,4.70636151689825,0.6074709124311084,0.19765712188741746,0.16276527559057435,0.5670997729761487
0,3,0.10296533806220028,0.9753164556962025,5.90143272610919,0.4966319657072872,0.182266986221477,0.12274270580451269,0.4064180198911038
0,4,0.06696904145853146,0.9854430379746836,7.266503743923499,0.5009185548071035,0.18389316177006634,0.11761485737151421,0.40024363833459353
0,5,0.0573550071396358,0.9841772151898734,7.034090657683089,0.5064298836497244,0.1806250399846459,0.10878634254724268,0.4114618812774669
0,6,0.0696416201719077,0.9841772151898734,5.141189399249552,0.5774647887323944,0.19422217424064714,0.1527019249278566,0.5417244776754909
0,7,0.04424649221244964,0.9873417721518988,7.938599663028532,0.5003061849357011,0.18399752272904982,0.11528671850530216,0.396150657974998
0,8,0.03583382544508557,0.9930379746835443,6.472885163224891,0.5021432945499081,0.18095611285266458,0.11497495701250944,0.39369243647819285
1,1,0.8528969598366194,0.7954739538855679,0.48745317560833623,0.9776595744680852,0.12202380952380952,0.12284876609828045,0.9707834789889982
1,2,0.1442303059656049,0.96199829205807,0.6505824923031662,0.9797872340425532,0.12351190476190477,0.12354722366188384,0.9708450169992524
1,3,0.09023754453933922,0.9748078565328779,0.7371473311118183,0.9797872340425532,0.12351190476190477,0.12354722366188384,0.9708450169992524
1,4,0.05035474137852428,0.9893253629376602,0.6390049381362413,0.9808510638297873,0.12425595238095238,0.1239989048451769,0.9724279326866885
1,5,0.04503149614539347,0.9871904355251921,0.8544216552522613,0.9691489361702128,0.12209741614166525,0.12279051617417513,0.964965065797234
1,6,0.051089748603164654,0.9876174210076858,0.9759754329839481,0.9797872340425532,0.12351190476190477,0.12362014429399013,0.9718863856858426
1,7,0.11028598544699236,0.9756618274978651,0.8848015867939559,0.9787234042553191,0.12276785714285715,0.12323679270581925,0.9713382744789261
1,8,0.02874343633630061,0.9927412467976089,0.7526832981821175,0.9797872340425532,0.12351190476190477,0.12362014429399013,0.9718863856858426
1,9,0.01960703416321471,0.9944491887275833,0.7625457887270841,0.9787234042553191,0.12276785714285715,0.12323679270581925,0.9713382744789261
1,10,0.024808234246809804,0.9931682322801024,0.8117020040973033,0.9797872340425532,0.12351190476190477,0.12358366248010912,0.9713653943352696
