dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size,residual_scale_final
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,0,0.8823363696121701,0.882664575878857,0.8472230717933577,0.8357961905250482,0.8857452565217706,13,14.151427030563354,76.82026195526123,1456,90,90,42596,0.09621886909008026
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,1,0.814747863649169,0.8076134579044755,0.7622118645687114,0.7711223189003451,0.8200776062328501,14,14.970032930374146,76.25524806976318,1456,90,90,42596,0.1094699278473854
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,2,0.8463235984599493,0.8985016646556415,0.8051763255242185,0.8491651222468674,0.8611641385760336,12,13.854892015457153,77.5433611869812,1456,90,90,42596,0.08607792109251022
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,3,0.8449854446426894,0.8805421660859699,0.8000188787333142,0.8570528590081692,0.8469280917185239,12,14.097016096115112,77.01041197776794,1456,90,90,42596,0.0889291912317276
pavia_university,spectral_qnn_residualsafe_gated_supcon,10,4,0.8330359658183867,0.8735852410377083,0.7878898604909308,0.8319408812110939,0.8471866122505856,25,21.557578086853027,77.17937183380127,1456,90,90,42596,0.18513748049736023
salinas,spectral_qnn_residualsafe_gated_supcon,10,0,0.8336895314910145,0.9290640196160049,0.8168552546590836,0.9115221644527192,0.8238759989240656,8,18.870402812957764,92.2280011177063,2177,160,160,53809,0.05865943059325218
salinas,spectral_qnn_residualsafe_gated_supcon,10,1,0.9505473062127153,0.9778630304467767,0.9450314186267871,0.9723224227737133,0.9510186702208148,11,23.33479881286621,97.58520197868347,2177,160,160,53809,0.09500177204608917
salinas,spectral_qnn_residualsafe_gated_supcon,10,2,0.938820643386794,0.9687709535294013,0.9318485254261761,0.96434893420645,0.9384848352611419,11,23.002655029296875,95.79443693161011,2177,160,160,53809,0.09312674403190613
salinas,spectral_qnn_residualsafe_gated_supcon,10,3,0.918117786987307,0.9621264585615363,0.9090510997072305,0.9546240464466178,0.9192132879387205,11,23.725906372070312,97.72493481636047,2177,160,160,53809,0.09610318392515182
salinas,spectral_qnn_residualsafe_gated_supcon,10,4,0.9297143600512925,0.9631470454124391,0.92206061792048,0.9534948032572179,0.9305647474890174,9,21.06934881210327,96.06374669075012,2177,160,160,53809,0.07139528542757034
