class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.8285714285714286,1.0,0.90625,29
1,Corn-notill,0.8309037900874635,0.6072443181818182,0.7016823963890029,1408
2,Corn-mintill,0.4772370486656201,0.7506172839506173,0.5834932821497121,810
3,Corn,0.7346938775510204,0.9953917050691244,0.8454011741682974,217
4,Grass-pasture,0.7736842105263158,0.6349892008639308,0.697508896797153,463
5,Grass-trees,0.8564294631710362,0.9661971830985916,0.9080079417604235,710
6,Grass-pasture-mowed,0.15625,1.0,0.2702702702702703,15
7,Hay-windrowed,0.9848812095032398,0.9956331877729258,0.990228013029316,458
8,Oats,0.10810810810810811,1.0,0.1951219512195122,8
9,Soybean-notill,0.6327387198321092,0.6334033613445378,0.6330708661417322,952
10,Soybean-mintill,0.806776071995765,0.6258726899383984,0.7049028677150786,2435
11,Soybean-clean,0.48546511627906974,0.5828970331588132,0.5297383029341792,573
12,Wheat,0.6751824817518248,1.0,0.8061002178649237,185
13,Woods,0.9392678868552413,0.9068273092369478,0.9227625664078464,1245
14,Buildings-Grass-Trees-Drives,0.8337595907928389,0.8907103825136612,0.8612945838837517,366
15,Stone-Steel-Towers,0.7019230769230769,1.0,0.8248587570621468,73
