dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
indian_pines,ssrn_lite,5,0,0.47855147645650437,0.6299104510053877,0.4167934101012678,0.40666550005549984,0.4763395658140974,80,47.9012188911438,14.315052032470703,28800,80,145,10024
indian_pines,spectralformer_lite,5,0,0.6672984836392658,0.7971923953017673,0.6274725878433185,0.62107095066044,0.6808796953642986,80,3.9989101886749268,0.9781661033630371,54352,80,145,10024
indian_pines,dbda_lite,5,0,0.5874900239425379,0.737878013119588,0.5426406984658916,0.5613493276927578,0.6018175320375425,75,4.037306070327759,0.9239370822906494,45404,80,145,10024
indian_pines,ssrn_lite,5,1,0.5294293695131684,0.531638792592604,0.45741970611792027,0.42517122989142,0.5105644035833967,75,46.90205693244934,14.05586314201355,28800,80,145,10024
indian_pines,spectralformer_lite,5,1,0.6532322426177175,0.7911614697905129,0.6070334550387368,0.6322064498895176,0.6575076482880834,70,4.0269389152526855,0.9821600914001465,54352,80,145,10024
indian_pines,dbda_lite,5,1,0.601755786113328,0.7762124230094829,0.5583604042509428,0.6342193127205148,0.6127505126132652,70,4.041752815246582,0.9103937149047852,45404,80,145,10024
indian_pines,ssrn_lite,5,2,0.4215881883479649,0.6146404563019832,0.3649608704419981,0.4251370637947401,0.41039672377893915,70,47.06356906890869,14.141582012176514,28800,80,145,10024
indian_pines,spectralformer_lite,5,2,0.6853551476456504,0.7851638301164269,0.6424740360612776,0.6463781116517306,0.683085991287394,60,3.89882493019104,0.9537680149078369,54352,80,145,10024
indian_pines,dbda_lite,5,2,0.5996608140462889,0.7420813298590876,0.5461017101156248,0.5904141568174601,0.5928718215973012,70,3.945985794067383,0.915989875793457,45404,80,145,10024
indian_pines,ssrn_lite,5,3,0.32651636073423784,0.42817429822104236,0.25960806768715095,0.295803213727421,0.26738518229385766,80,46.80545616149902,14.156728982925415,28800,80,145,10024
indian_pines,spectralformer_lite,5,3,0.610634477254589,0.7779075270509613,0.5630688938382751,0.6113826085898393,0.6176625466761237,75,3.8131330013275146,0.9590499401092529,54352,80,145,10024
indian_pines,dbda_lite,5,3,0.5814046288906624,0.7007736836231786,0.5348340843104529,0.5522104833854318,0.5645434677997405,75,3.830886125564575,0.9790630340576172,45404,80,145,10024
indian_pines,ssrn_lite,5,4,0.3576416600159617,0.5425742518694341,0.2667138024234099,0.3560069563013518,0.29943504534260784,75,46.45280313491821,14.034085035324097,28800,80,145,10024
indian_pines,spectralformer_lite,5,4,0.6143256185155627,0.7977076067142275,0.5724873649581849,0.6205262933491431,0.6193108943499529,65,4.003728151321411,0.9685990810394287,54352,80,145,10024
indian_pines,dbda_lite,5,4,0.6043495610534717,0.7845424710022191,0.5610092749239599,0.6383618960729776,0.6241584041661061,80,4.024428844451904,0.9652760028839111,45404,80,145,10024
indian_pines,ssrn_lite,10,0,0.5985724338996682,0.6981844231078045,0.5470935624030093,0.5436302073979592,0.5945416252905491,80,96.24514102935791,14.003483295440674,28800,160,142,9947
indian_pines,spectralformer_lite,10,0,0.7349954760229215,0.8464442999422856,0.7022947257567738,0.68701837207558,0.7452102216989426,75,7.822732925415039,0.944575309753418,54352,160,142,9947
indian_pines,dbda_lite,10,0,0.7063436211923193,0.8434798399647322,0.6715360191644923,0.7023768398476615,0.7163141173913398,65,7.488332986831665,0.9249520301818848,45404,160,142,9947
indian_pines,ssrn_lite,10,1,0.5993766964914045,0.7451583820562976,0.5536643402458461,0.580566152950117,0.6205704934807875,80,97.3983302116394,14.104533910751343,28800,160,142,9947
indian_pines,spectralformer_lite,10,1,0.7380114607419322,0.8493614784455854,0.7048946421148182,0.7112932554870841,0.7432574477162885,50,7.844975709915161,0.942180871963501,54352,160,142,9947
indian_pines,dbda_lite,10,1,0.752588720217151,0.8659446022465359,0.7209205052736982,0.7627709285266263,0.7558587586593314,70,7.521209239959717,0.9182090759277344,45404,160,142,9947
indian_pines,ssrn_lite,10,2,0.5800743942897356,0.7245292588929422,0.5270761489392449,0.5331874307647638,0.5886240550895557,80,97.53567814826965,13.996961116790771,28800,160,142,9947
indian_pines,spectralformer_lite,10,2,0.7098622700311652,0.8321787512528295,0.6751680988767534,0.6898815559104273,0.712690428996225,55,7.894053936004639,0.9607760906219482,54352,160,142,9947
indian_pines,dbda_lite,10,2,0.7622398713179853,0.8665182344422242,0.7334457164579997,0.741372952783425,0.764361856535195,80,7.518212080001831,0.9332399368286133,45404,160,142,9947
indian_pines,ssrn_lite,10,3,0.4098723233135619,0.6202672995547553,0.3534095636496889,0.4178452811567988,0.37478007082595366,75,97.27713298797607,13.945006847381592,28800,160,142,9947
indian_pines,spectralformer_lite,10,3,0.6995073891625616,0.8387704485983604,0.6632490816748866,0.6897366562685225,0.699076498934781,60,7.327296018600464,1.0303101539611816,54352,160,142,9947
indian_pines,dbda_lite,10,3,0.7375087966220971,0.8544404037514577,0.7039552186567227,0.7084447555493782,0.7455536127143347,75,7.2964842319488525,0.9627840518951416,45404,160,142,9947
indian_pines,ssrn_lite,10,4,0.5609731577360008,0.7101329913164249,0.5088976440329845,0.56704322361097,0.5788255196852503,80,96.60683393478394,13.912126302719116,28800,160,142,9947
indian_pines,spectralformer_lite,10,4,0.7411279782849101,0.853288009448508,0.7081219075265103,0.714502622050563,0.7447846305179486,50,7.925502061843872,0.9581372737884521,54352,160,142,9947
indian_pines,dbda_lite,10,4,0.7537951141047552,0.8594361092467036,0.7211156211798968,0.7711974537809462,0.7568958915404749,65,7.502652168273926,0.9324080944061279,45404,160,142,9947
