shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
1,1,1,2.879338502883911,0.0625,2.8480524449121383,0.08163265306122448,0.075,0.015576169452850008,0.04403409090909091,0.047928262213976495
1,1,2,2.8069753646850586,0.125,2.8105340344565257,0.08163265306122448,0.075,0.015331944030961608,0.04130162703379224,0.04495415187351537
1,1,3,2.7351362705230713,0.1875,2.7732655856074118,0.10884353741496598,0.125,0.04521790867172404,0.08567063188911929,0.06850977867956087
1,1,4,2.663806676864624,0.1875,2.736234793046705,0.12244897959183673,0.14375000000000002,0.06002775850104092,0.09324298968413658,0.073144297161872
1,1,5,2.5929884910583496,0.25,2.6994699799284643,0.14285714285714285,0.16249999999999998,0.08188757807078417,0.1005876665734787,0.08113850329993147
1,1,6,2.522693634033203,0.3125,2.663009684102065,0.14965986394557823,0.16874999999999998,0.08917418459403192,0.102831457925636,0.08358072517983058
1,1,7,2.452958822250366,0.3125,2.626948848062632,0.16326530612244897,0.18125,0.10374739764052743,0.10985229668740307,0.09122245444433895
1,1,8,2.3839125633239746,0.3125,2.591439106026474,0.1836734693877551,0.2,0.12560721721027068,0.11820075757575758,0.10030921459492888
1,1,9,2.315814971923828,0.3125,2.556685896957813,0.19727891156462585,0.2125,0.1399672765134613,0.12891261755485894,0.10939159362804683
1,1,10,2.2489864826202393,0.375,2.522929913332673,0.19727891156462585,0.2125,0.1399672765134613,0.13051316100481924,0.11113368173684716
1,1,11,2.1837377548217773,0.375,2.4904145934954793,0.21768707482993196,0.23124999999999998,0.16183251524616993,0.15218028499278496,0.13471694594143574
1,1,12,2.1203205585479736,0.4375,2.4593550575022793,0.22448979591836735,0.2375,0.16912092815707258,0.15557875613834915,0.13841596215429466
1,1,13,2.058924436569214,0.4375,2.429900511592424,0.24489795918367346,0.25625,0.19098616688978143,0.1779799652494497,0.16279823057454018
1,1,14,1.9996768236160278,0.4375,2.4020844689842793,0.25170068027210885,0.2625,0.1982745798006843,0.18556845519088083,0.17105781146317267
1,1,15,1.942620873451233,0.4375,2.3757851918538413,0.25170068027210885,0.2625,0.1982745798006843,0.1837814209199613,0.16911274014788613
1,1,16,1.8876763582229614,0.4375,2.3507260546392326,0.2925170068027211,0.3,0.24200505726610155,0.23573184027241156,0.22565741427300207
1,1,17,1.8346205949783325,0.5,2.326509782246181,0.3129251700680272,0.31875,0.26387029599881007,0.25578353361099393,0.24748238661431615
1,1,18,1.783124566078186,0.625,2.30268568246543,0.32653061224489793,0.33125,0.2784471218206158,0.26803645519249497,0.26081889990030377
1,1,19,1.732822060585022,0.75,2.2788775956549614,0.3741496598639456,0.37569444444444444,0.3293330027274981,0.3317769004301512,0.3257435650940421
1,1,20,1.6834017038345337,0.75,2.2548902115854275,0.3945578231292517,0.3951388888888889,0.3512347515620351,0.35210961148246617,0.34676123451400154
1,1,21,1.634673833847046,0.75,2.2307197771915774,0.43537414965986393,0.4354166666666667,0.3950917203767973,0.39828629567409374,0.3940531109377891
1,1,22,1.5865741968154907,0.75,2.206506600996264,0.46258503401360546,0.46111111111111114,0.4242724703782659,0.4173776162103713,0.4143225754670708
1,1,23,1.5391323566436768,0.875,2.1824574211016805,0.48299319727891155,0.4798611111111111,0.44613554112339493,0.43844127017618395,0.4372490015523091
1,1,24,1.4924193620681763,0.875,2.158762743683899,0.5034013605442177,0.4986111111111111,0.4683149184957637,0.4518822273671412,0.45497076077066695
1,1,25,1.4464932680130005,0.875,2.1355368336852716,0.54421768707483,0.5659722222222222,0.5123774631151599,0.5184790359422713,0.49526087121125134
1,1,26,1.4013662338256836,0.875,2.1128090003720756,0.5714285714285714,0.5909722222222222,0.541489256362016,0.5480325842458196,0.5274279986164739
1,1,27,1.3570148944854736,0.875,2.0905595247437354,0.5850340136054422,0.6180555555555556,0.5561989606533037,0.563116735869218,0.5347758280478374
1,1,28,1.3134243488311768,0.875,2.068761871785534,0.5850340136054422,0.6180555555555556,0.5563526617850783,0.5567327534723046,0.5329293165954145
1,1,29,1.2706248760223389,0.875,2.047403179058412,0.5918367346938775,0.6243055555555557,0.5636255689689293,0.5607044283491519,0.5372522280259967
