dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_loss,val_loss,trainable_parameters,train_size,validation_size,test_size,train_time_seconds,test_time_seconds
pavia_university,hybridsn_small,10,0,0.8975490656399662,0.8878617429384523,0.8657762146572979,0.8622790436612413,0.8976153601489932,77,,,99033,90,90,42596,152.34468913078308,168.4945948123932
pavia_university,hybridsn_small,10,1,0.7473471687482393,0.7278932943724601,0.6756408139131268,0.633134598405753,0.7374703892049113,24,,,99033,90,90,42596,60.364038944244385,166.35964012145996
pavia_university,hybridsn_small,10,2,0.8009907033524275,0.8654671007724013,0.7493500485403342,0.8129194504847996,0.8217979821040112,68,,,99033,90,90,42596,145.47601175308228,142.0109441280365
pavia_university,hybridsn_small,10,3,0.8418865621185088,0.867888908674396,0.7963111902064955,0.8359958329237123,0.8434700626365937,67,,,99033,90,90,42596,208.4813311100006,130.64214205741882
pavia_university,hybridsn_small,10,4,0.8253122358906939,0.8664019073322778,0.7786469800707719,0.8155510640620265,0.8398066280229542,65,,,99033,90,90,42596,148.24709701538086,139.99064183235168
pavia_university,spectral_qnn_multiproto,10,0,0.9061883744952578,0.8987166121404196,0.8773434571027889,0.8762268609951387,0.9065061401438947,9,0.3056722978750865,0.5161436160405477,1455,90,90,42596,32.53491520881653,67.89358401298523
pavia_university,spectral_qnn_multiproto,10,1,0.8558550098600808,0.8884520188462306,0.8147126130259288,0.8545201874382552,0.8603646828586214,23,0.1418982555468877,0.4094282931751675,1455,90,90,42596,56.554813861846924,67.95374393463135
pavia_university,spectral_qnn_multiproto,10,2,0.8662080946567753,0.9283237522677772,0.8305579185113461,0.8808314458915115,0.8771983778414539,12,0.1842130359676149,0.45274917946921456,1455,90,90,42596,37.769094705581665,67.97959399223328
pavia_university,spectral_qnn_multiproto,10,3,0.8618180110808527,0.898721967085782,0.822658711309312,0.8737044981689804,0.8655043315008474,8,0.5119898544417487,0.6025755087534587,1455,90,90,42596,30.676981687545776,67.54982089996338
pavia_university,spectral_qnn_multiproto,10,4,0.8253122358906939,0.8593257445007533,0.7782661584656683,0.8206264442834713,0.836813193625056,10,0.2571331113576889,0.5337154361936781,1455,90,90,42596,34.07660436630249,67.94339513778687
salinas,hybridsn_small,10,0,0.911408872121764,0.9469946659855556,0.9016601612478672,0.9370495458884958,0.9126156577270474,33,,,99488,160,160,53809,132.20759892463684,195.8693270683289
salinas,hybridsn_small,10,1,0.956865951792451,0.9796971659556992,0.9519903978711456,0.975173410514579,0.956984382643538,55,,,99488,160,160,53809,275.1917550563812,173.14483213424683
salinas,hybridsn_small,10,2,0.9435782118233008,0.968769871978986,0.937213536690336,0.9630614098513072,0.9436368037242812,78,,,99488,160,160,53809,205.7821021080017,137.21537709236145
salinas,hybridsn_small,10,3,0.9430021000204428,0.9671073517734284,0.9365400705142573,0.9610610207427712,0.9433312562684516,84,,,99488,160,160,53809,216.3636529445648,139.3526360988617
salinas,hybridsn_small,10,4,0.9252355553903622,0.9405395486595508,0.916585600494882,0.935743628939,0.9242604876238814,44,,,99488,160,160,53809,191.5818018913269,155.50030493736267
salinas,spectral_qnn_multiproto,10,0,0.8482224163244066,0.929668782303408,0.8298917042971607,0.9213675932578216,0.8295428941844268,9,0.3496227741241455,0.32772326618433,2176,160,160,53809,98.92905592918396,98.5433988571167
salinas,spectral_qnn_multiproto,10,1,0.9308294151535988,0.9738876534602507,0.9233058912886024,0.9672179216809881,0.9313997423072298,16,0.13952818959951402,0.16542482674121856,2176,160,160,53809,128.75811409950256,93.7717981338501
salinas,spectral_qnn_multiproto,10,2,0.9243063428051069,0.956879163651916,0.915603626164866,0.9545317721853079,0.9231716917186414,18,0.10262848362326622,0.14494562856853008,2176,160,160,53809,140.58667302131653,96.98047828674316
salinas,spectral_qnn_multiproto,10,3,0.9503800479473694,0.9727567058831219,0.9448050162942573,0.9668220716509845,0.9508145444466632,10,0.21836905926465988,0.24651944115757943,2176,160,160,53809,89.82155179977417,87.06523513793945
salinas,spectral_qnn_multiproto,10,4,0.8794253749372781,0.9431734548316939,0.8654246845297914,0.9368353417799857,0.8761365400721759,5,0.9161836802959442,0.783603647351265,2176,160,160,53809,66.0171000957489,85.52324604988098
